dim,K29.500,E14.900,I10.x00,E05.900,J40.x00,G47.900,J03.900,N18.900,E03.900,I63.900,R51.x00,E04.101,R42.x00,H10.900,F41.101,H52.701,J06.900,L30.902,Z00.001,I25.103,J39.900,E78.500,I10.x04,J18.000,F20.900,I25.101,I49.900,M81.901,N97.900,M25.500,N96.x00,F32.900,I70.900,F32.901,H35.900,R50.900,N04.900,F41.900,E28.200,N41.900,D69.000,I10  02,L70.900,K29.502,R21.x00,K52.916,Z49.201,L28.000,N39.000,N20.901,D64.900,K04.000,G40.901,C50.900,N46.x00,L50.900,M06.900,M32.900,E14.901,J30.400,K30.x00,K73.900,I63.801,L21.900,Z95.501,C34.900,I51.900,B07.x00,N02.801,R94.600,H66.900,N03.900,K52.905,N19.x03,J03.901,K59.000,K02.900,J31.200,B08.501,I10.x05,M45.x00,M13.900,L28.203,N19.x01,R10.400,K21.001,N39.001,E05.901,H81.901,N40.x00,I25.100,B02.900,J40  03,E07.900,F09.x00,R00.200,H26.900,J06.903,E83.503,B18.107
ave_C,0.083781696,0.070932377,0.112988297,0.075397988,0.194652198,0.082079959,0.084523524,0.065117351,0.068601441,0.071853883,0.077381963,0.064580373,0.069448385,0.071183841,0.075790979,0.085849057,0.082391365,0.071385849,0.068339953,0.074652283,0.084399001,0.068691538,0.066794557,0.296895153,0.065053015,0.069660146,0.062074395,0.06540403,0.076434026,0.07520095,0.072333124,0.072771982,0.06942661,0.073822389,0.069556029,0.081075841,0.063612812,0.073370202,0.088078085,0.070468254,0.076003571,0.04159025,0.071881744,0.022023555,0.070409845,0.102001096,0.070492152,0.057851308,0.060923318,0.069797048,0.072353746,0.070771462,0.072013988,0.067450872,0.074653714,0.073468089,0.074529836,0.069363304,0.050344322,0.112281128,0.072687707,0.077681224,0.070253578,0.074602918,0.075016024,0.081701852,0.065682419,0.072694374,0.072987619,0.061186767,0.076977466,0.069687086,0.078380925,0.064971095,0.087479984,0.067475864,0.072957614,0.068637665,0.248850172,0.074410322,0.068236984,0.067172906,0.323678458,0.067667554,0.059822962,0.066650921,0.070040629,0.080542571,0.068085057,0.079835485,0.068006151,0.065682692,0.0123318,0.064279306,0.079190095,0.066044847,0.073199999,0.031946991,0.068987827,0.070927785
min_C,0.092911936,0.080973558,0.124305371,0.080485946,0.211476486,0.079638773,0.085007136,0.079056266,0.073834053,0.077564429,0.077434776,0.060551167,0.075692088,0.08276432,0.062493621,0.081903296,0.075945521,0.070312718,0.074656899,0.070535568,0.077383895,0.06965178,0.067697605,0.311132374,0.06774678,0.08559036,0.062244163,0.072242856,0.08100165,0.069799194,0.066395054,0.06418427,0.064955978,0.060022309,0.068484547,0.076022876,0.061845705,0.062051824,0.073287948,0.076446184,0.069224791,0.038264154,0.068278716,0.02182551,0.064821539,0.097726266,0.060634004,0.07779013,0.06618579,0.076069455,0.056141226,0.075469766,0.068982102,0.062193053,0.071090803,0.075639563,0.07071693,0.059298221,0.048708688,0.114316125,0.066857303,0.078836005,0.07041971,0.073086869,0.066358366,0.055294309,0.060652924,0.0665162,0.063908232,0.062423496,0.073505176,0.067392563,0.083985675,0.064090407,0.080357624,0.070604618,0.076019502,0.065323019,0.244598888,0.064581342,0.070414657,0.066684267,0.328128021,0.075283875,0.060063665,0.060104757,0.077312739,0.08037985,0.069853954,0.063563812,0.076728651,0.064028501,0.013971897,0.063920764,0.065649198,0.067027359,0.067751365,0.029687858,0.067323814,0.076652374
max_C,0.08447549,0.078113785,0.103912757,0.072010974,0.188889018,0.080334322,0.077014733,0.07721739,0.075218766,0.079169377,0.073977861,0.06860544,0.083050676,0.07976936,0.060327781,0.077356217,0.074490651,0.073283654,0.074802004,0.068375621,0.08011609,0.075697078,0.077903988,0.28113103,0.069043684,0.070886369,0.06731376,0.069070571,0.077010845,0.063059748,0.06956676,0.065129558,0.065221847,0.077791868,0.07477134,0.084908246,0.069718556,0.068898179,0.078265194,0.064731581,0.065359276,0.040206088,0.068045268,0.02333696,0.077489811,0.094471303,0.067716841,0.068368974,0.074180894,0.07548591,0.070370013,0.064927086,0.064835994,0.07254838,0.072007081,0.075964904,0.064939337,0.060811338,0.05043132,0.113398236,0.07565748,0.074832494,0.063770948,0.072912887,0.072904049,0.07279639,0.074907744,0.065759113,0.06517949,0.085120465,0.076001186,0.074241874,0.072864924,0.068408971,0.073511753,0.073540366,0.076772989,0.070624441,0.228629905,0.06402259,0.063246201,0.057153839,0.313666533,0.068646705,0.067539917,0.067193855,0.060761513,0.087015933,0.082565512,0.06597643,0.074933955,0.065565539,0.012447467,0.068055754,0.073415761,0.075436381,0.069850854,0.031401462,0.064315368,0.066670649
ave_ws,0.06506271,0.061077233,0.058918078,0.054291525,0.069029625,0.055237194,0.047754048,0.045244522,0.037666806,0.029433163,0.02664612,0.049843567,0.033324939,0.036041638,0.033654167,0.040768086,0.030019135,0.026332392,0.032786868,0.041655089,0.041821565,0.029427655,0.027955388,0.047003807,0.028439263,0.025013677,0.026883175,0.029471744,0.034064744,0.02899582,0.030481125,0.027904899,0.029557574,0.02663341,0.031370637,0.02537397,0.029701858,0.031307211,0.036045068,0.031583774,0.028903663,0.014733017,0.023896497,0.009012616,0.023939712,0.02717603,0.02533832,0.02426248,0.026460861,0.024687293,0.02604235,0.027530232,0.026231712,0.025849319,0.025422535,0.02524305,0.026854991,0.027632412,0.020933029,0.026584957,0.028705047,0.028152381,0.027478769,0.026933216,0.032219432,0.027075104,0.031641572,0.022924419,0.026374032,0.02903401,0.026416804,0.028377504,0.025331563,0.025255993,0.02863918,0.023551427,0.026079631,0.025494009,0.032253525,0.030055433,0.02842529,0.026117667,0.033833625,0.026767426,0.024071241,0.02582079,0.024707794,0.026887475,0.026390601,0.029957153,0.028462732,0.025212924,0.006530333,0.027763241,0.033566594,0.024387238,0.022526695,0.013890809,0.021164681,0.026810041
ave_rh,0.061562465,0.053725416,0.060321518,0.064211507,0.057638566,0.046313143,0.038954943,0.042636937,0.039445806,0.037617081,0.033095924,0.052403933,0.036211486,0.033175913,0.035218563,0.035909586,0.036082808,0.038394413,0.050497244,0.034601298,0.03956744,0.03578908,0.030823601,0.047810712,0.030169049,0.030615926,0.028324619,0.026733726,0.042725066,0.029635167,0.031457592,0.026787843,0.028568546,0.030069979,0.032190013,0.03658002,0.025697251,0.030968781,0.031101471,0.031703244,0.027937521,0.020790699,0.034397196,0.012977304,0.038085573,0.032288085,0.029617209,0.033379889,0.028920546,0.037134523,0.029768895,0.027875494,0.030801573,0.029757482,0.02940336,0.027967781,0.032974495,0.034976618,0.021513962,0.033904931,0.026750197,0.029640023,0.027468178,0.026560799,0.029007235,0.032279064,0.026356606,0.028000663,0.030986754,0.030515537,0.031558208,0.031725657,0.033959049,0.027644879,0.038378612,0.026505558,0.035728562,0.025969323,0.051725616,0.028066202,0.031733587,0.02656456,0.050740175,0.035040904,0.029830735,0.031920793,0.022473308,0.0269331,0.029593534,0.027423773,0.028262408,0.031383859,0.008685811,0.029430197,0.032649132,0.028207793,0.030935374,0.016426785,0.031017271,0.026468902
ave_hpa,0.084643552,0.065823257,0.098322909,0.068812959,0.179911019,0.08068212,0.082488514,0.069198016,0.066587361,0.065806938,0.073085822,0.061288632,0.068910601,0.064340084,0.07352307,0.068623831,0.071872956,0.065627796,0.062335819,0.058920048,0.079177882,0.074300284,0.067265326,0.242160939,0.074475075,0.069785545,0.072897578,0.063314812,0.078750577,0.067654444,0.069786571,0.073597102,0.06903223,0.065172139,0.061968123,0.071597597,0.067068804,0.071660944,0.071147477,0.074703015,0.071881155,0.044780729,0.05613198,0.023889214,0.07122335,0.089747538,0.073601521,0.070458598,0.06058123,0.073561216,0.061559682,0.063673285,0.072757884,0.064709328,0.06198549,0.068406485,0.067474362,0.067843137,0.051241529,0.085816613,0.078616357,0.069904507,0.071532451,0.061874993,0.068292821,0.062395723,0.070420174,0.065895697,0.066812396,0.064076457,0.064297273,0.076035747,0.063456811,0.058983342,0.069784707,0.065414212,0.069674945,0.06789628,0.221879652,0.068405312,0.067233929,0.069502576,0.225462294,0.07569534,0.076238094,0.066933418,0.063608937,0.089291238,0.075283297,0.068483942,0.075078319,0.055120039,0.012817691,0.063091526,0.066861712,0.063705698,0.0585984,0.032742065,0.069574121,0.067424124
daily_precipitation,0.065635156,0.060496182,0.054984341,0.060086397,0.060414914,0.060828428,0.061080761,0.050538439,0.050743821,0.04920423,0.052054229,0.063070745,0.050404577,0.052999802,0.059817298,0.050206006,0.044249508,0.068607491,0.055010669,0.059432364,0.056792039,0.056729388,0.056849751,0.054880138,0.058715784,0.054688336,0.057047401,0.054978408,0.053970676,0.058474436,0.047081548,0.057427954,0.047234194,0.058005334,0.048098785,0.056870596,0.054869204,0.052975674,0.052717424,0.049782368,0.049188954,0.01935843,0.050609339,0.007702547,0.057809023,0.05447858,0.058474478,0.052624287,0.052764758,0.045372768,0.055770515,0.05517923,0.05272579,0.049138933,0.056704634,0.05651171,0.058493151,0.061296133,0.012961194,0.05989232,0.057103361,0.047600188,0.054403126,0.051058163,0.064588482,0.060965973,0.053285588,0.059743326,0.052299827,0.052220824,0.059892978,0.054220042,0.048129275,0.055487262,0.05063821,0.056167638,0.052882039,0.04840045,0.05670678,0.053569122,0.054636828,0.055058518,0.065034902,0.049945546,0.054553689,0.061575091,0.048771919,0.048573625,0.053376574,0.054710487,0.053047477,0.045283228,0.004002183,0.057549536,0.061695886,0.052643168,0.054558609,0.009800792,0.053010948,0.046934011
SO2,0.073873494,0.079781261,0.093597692,0.065798228,0.103997839,0.050311736,0.054363237,0.069239558,0.049528746,0.058242796,0.052134647,0.06842007,0.06078111,0.041591904,0.035723275,0.04754768,0.103136532,0.055143868,0.073607742,0.044749141,0.108476732,0.05959498,0.061021917,0.13592402,0.034982362,0.038646349,0.036838401,0.040936757,0.097084527,0.040722839,0.090228307,0.049975748,0.039254695,0.045179933,0.050139079,0.075493352,0.038961633,0.056409277,0.051470632,0.045132466,0.045338514,0.018930922,0.042396682,0.013155498,0.050829174,0.040182978,0.043917165,0.056598297,0.048790877,0.03661486,0.038294485,0.056080312,0.037989082,0.043422823,0.046401399,0.034629701,0.054894411,0.05180751,0.022064838,0.058115336,0.036355644,0.04837822,0.048782833,0.035339729,0.07308323,0.055606647,0.032601519,0.034741888,0.049994658,0.064674713,0.035112415,0.044765314,0.056226946,0.041561979,0.049677491,0.040526006,0.046204655,0.044594661,0.12497385,0.042037367,0.043723004,0.041545571,0.144128966,0.039117103,0.041628895,0.04345155,0.041955461,0.040723026,0.048212813,0.038879866,0.035708429,0.037333033,0.007519655,0.053786218,0.037397157,0.042901328,0.043989654,0.014139567,0.067822754,0.041091146
NO2,0.086098683,0.049060974,0.074139791,0.05922884,0.132839142,0.085381429,0.048369497,0.057985994,0.043797602,0.040664916,0.042401904,0.056360014,0.046008381,0.038859956,0.040885641,0.05421289,0.058043825,0.045381324,0.047336464,0.044395255,0.042047961,0.036713984,0.040077766,0.12472473,0.034616378,0.048899789,0.04001983,0.037102162,0.040678101,0.034119079,0.048247231,0.048394828,0.0355124,0.046158646,0.041893342,0.037564832,0.043428219,0.046151281,0.038050393,0.04593474,0.035747335,0.017302038,0.036717452,0.014616052,0.035659129,0.037782001,0.03747195,0.040075949,0.042431587,0.038390426,0.033636988,0.045646364,0.030036659,0.040384791,0.043033247,0.036495451,0.036921177,0.036294817,0.022269686,0.04950061,0.04067596,0.046632458,0.037497655,0.042585632,0.038400077,0.041906908,0.040714815,0.036728393,0.047509692,0.045934572,0.039049308,0.031667784,0.049770757,0.036875399,0.035204871,0.033968149,0.043647394,0.042776468,0.086666705,0.037288768,0.034809276,0.033760109,0.100365088,0.037831606,0.04199918,0.034548017,0.042128555,0.03740021,0.043788708,0.038660396,0.039096037,0.040639544,0.00791533,0.036768109,0.047296664,0.039837613,0.045935282,0.016331694,0.036360694,0.03682664
CO,0.119287603,0.081404304,0.10646027,0.068880455,0.139166257,0.098977644,0.109757673,0.148998906,0.076772122,0.075992171,0.063455959,0.13670615,0.083687843,0.081830102,0.073888026,0.074374733,0.186768689,0.077821746,0.122608612,0.065956837,0.122888827,0.084164799,0.102748234,0.194690787,0.066500718,0.083850906,0.061977688,0.070780403,0.131181109,0.067331591,0.142795108,0.075695753,0.066276129,0.085825387,0.079460993,0.099725024,0.067350352,0.123630652,0.078968148,0.079596854,0.068046702,0.071764236,0.073409328,0.036408089,0.089433793,0.089497465,0.070654022,0.079428037,0.080415924,0.08095997,0.074964744,0.091668506,0.072140205,0.086784753,0.07251495,0.079960498,0.086644926,0.083430121,0.097973768,0.086209899,0.065301726,0.082037053,0.067801672,0.081760828,0.159183844,0.099674851,0.066735064,0.073573994,0.069355802,0.127952484,0.075205671,0.067376162,0.073527652,0.063410282,0.073112506,0.069872786,0.06903467,0.062962431,0.169312766,0.078117408,0.070481958,0.072556113,0.184292149,0.074552849,0.071178706,0.073821066,0.063056696,0.140741719,0.07571232,0.074343635,0.067327513,0.078496623,0.016940229,0.120343826,0.066069236,0.066788912,0.076204441,0.053454075,0.117485983,0.076396429
