dim,K29.500,E14.900,I10.x00,E05.900,J40.x00,G47.900,J03.900,N18.900,E03.900,I63.900,R51.x00,E04.101,R42.x00,H10.900,F41.101,H52.701,J06.900,L30.902,Z00.001,I25.103,J39.900,E78.500,I10.x04,J18.000,F20.900,I25.101,I49.900,M81.901,N97.900,M25.500,N96.x00,F32.900,I70.900,F32.901,H35.900,R50.900,N04.900,F41.900,E28.200,N41.900,D69.000,I10  02,L70.900,K29.502,R21.x00,K52.916,Z49.201,L28.000,N39.000,N20.901,D64.900,K04.000,G40.901,C50.900,N46.x00,L50.900,M06.900,M32.900,E14.901,J30.400,K30.x00,K73.900,I63.801,L21.900,Z95.501,C34.900,I51.900,B07.x00,N02.801,R94.600,H66.900,N03.900,K52.905,N19.x03,J03.901,K59.000,K02.900,J31.200,B08.501,I10.x05,M45.x00,M13.900,L28.203,N19.x01,R10.400,K21.001,N39.001,E05.901,H81.901,N40.x00,I25.100,B02.900,J40  03,E07.900,F09.x00,R00.200,H26.900,J06.903,E83.503,B18.107
ave_C,-0.107399142,-0.03948481,-0.193030242,0.032728037,-0.445894488,-0.122601894,0.169065505,-0.054199273,0.004938063,-0.024256908,0.008337909,-0.021800069,-0.024977368,0.087302053,0.015466436,0.064638234,-0.020502929,-0.037222328,0.063605135,-0.06191024,-0.195830333,-0.079958729,-0.086548557,-0.552549628,-0.018505802,0.04317219,-0.01458918,0.030356842,0.11135218,0.089733985,0.06119311,0.003696953,-0.028948297,-0.017038703,-0.013565509,-0.055599306,-0.069885182,-0.083035411,0.172441822,-0.087695781,-0.096668128,0.036465602,0.034777032,0.046805738,0.036055292,0.099836709,-0.013409796,-0.04257491,0.02874736,0.117069341,0.057600919,0.038568511,-0.006736192,-0.008558335,0.023910183,0.11252303,0.025674041,0.029712326,0.074065265,0.219757345,0.093962323,0.069341101,-0.063979019,-0.069415427,-0.038482288,0.003431208,-0.03353986,0.006215329,0.003562306,0.020845559,-0.036176332,-0.047746361,-0.170160469,-0.007057729,0.099752742,-0.056522621,0.06428467,0.051490482,0.462957109,-0.10531027,0.027387345,0.011829523,0.512666996,0.007117776,-0.031691641,0.017483781,0.064216947,0.165695917,-0.080732722,-0.025185996,-0.035140905,0.001216531,0.014462228,0.003918027,-0.018782414,-0.038268565,-0.003385414,0.050683779,-0.048639809,0.006072663
min_C,-0.106836461,-0.045971062,-0.201289261,0.032462015,-0.449001077,-0.129325602,0.151908612,-0.056288719,-0.001215213,-0.033874335,0.000779466,-0.023885299,-0.029424751,0.082156955,0.009011396,0.069223484,-0.030305432,-0.055868315,0.050428894,-0.067569406,-0.198776353,-0.082124663,-0.088259115,-0.551894446,-0.023738226,0.043225192,-0.017309663,0.025866058,0.10781466,0.079753016,0.057725926,0.000535742,-0.034919455,-0.022582724,-0.005344534,-0.069728989,-0.076869356,-0.085734005,0.169550689,-0.08932251,-0.107148965,0.032528071,0.041274663,0.044350711,0.03021876,0.105416917,-0.020106861,-0.062715053,0.028865347,0.117152997,0.050386924,0.046691628,-0.010066524,-0.00947441,0.020698193,0.114763227,0.022314578,0.026486495,0.076009797,0.228619054,0.087856723,0.068277048,-0.059939114,-0.072363049,-0.040886434,-0.000792876,-0.042979344,0.006667584,0.003143076,0.017663685,-0.025711676,-0.054485995,-0.175684732,-0.010278063,0.077718789,-0.056246091,0.068309816,0.049897418,0.451398755,-0.112650621,0.025526917,0.002798684,0.513138199,0.012425631,-0.037381656,0.011657066,0.055162043,0.169989781,-0.079477068,-0.032592522,-0.04060239,0.007715726,0.011440466,0.004030913,-0.025919167,-0.042320485,-0.003196295,0.050545343,-0.052576595,0.005853822
max_C,-0.106134365,-0.034855117,-0.18336502,0.032395639,-0.434812225,-0.114622808,0.171849192,-0.051555717,0.009286609,-0.018918169,0.013011835,-0.02203936,-0.02131253,0.08726329,0.017625592,0.058282277,-0.011378711,-0.022767747,0.071771636,-0.05967389,-0.188229954,-0.077331672,-0.082174955,-0.540756331,-0.01511422,0.044126283,-0.013182672,0.032227544,0.108278957,0.092533507,0.060482381,0.003913218,-0.025410149,-0.014123814,-0.018594448,-0.045121797,-0.063413785,-0.077579636,0.167744307,-0.085300483,-0.085799519,0.035909232,0.030432576,0.047577826,0.038280399,0.087035578,-0.011769349,-0.026191985,0.024483219,0.110363251,0.063958314,0.03498034,-0.008255648,-0.010756568,0.024896819,0.10705409,0.025438885,0.029485296,0.06753819,0.207455286,0.097397463,0.071060971,-0.068044057,-0.067371896,-0.036892489,0.003666555,-0.022746347,0.005728922,0.001763202,0.019496844,-0.042319706,-0.042866852,-0.162262182,-0.003819142,0.10993054,-0.054392062,0.056953391,0.05025351,0.452589491,-0.098259372,0.024850036,0.01887278,0.495473462,0.00241477,-0.02991557,0.021137926,0.067857991,0.153462931,-0.082573294,-0.019249684,-0.02982203,-0.00418986,0.018561251,0.00161736,-0.016221567,-0.039023637,-0.004273914,0.050304457,-0.043267417,0.006350573
ave_ws,-0.02532743,-0.025199065,-0.066537874,-0.017015447,-0.146757613,-0.043411735,0.047148031,0.00315044,-0.006491085,-0.024236212,-0.034434693,-0.046494349,-0.030536466,-0.003894552,-0.01517094,0.012489779,-0.006880091,-0.000864532,-0.000859808,-0.047004129,-0.020585739,-0.017494986,-0.053295491,-0.155185031,-0.025440937,-0.017667326,-0.041345807,-0.015323166,-0.017628716,0.011225683,-0.022800391,-0.028512442,-0.023788181,-0.011009422,0.003231457,-0.028421946,-0.02155812,-0.045215426,0.016294341,-0.027498827,0.008613047,0.030086044,-0.009368769,0.012731204,0.028324008,0.005051906,-0.02888419,-0.012074025,0.020988711,0.035458526,-0.002659493,0.006382098,-0.007736428,-0.023071339,-0.034095522,0.019247197,-0.026870725,-0.02157626,0.049079378,0.029552448,0.006403393,0.034845988,-0.034520697,-0.04646324,-0.046234348,-0.016144705,-0.020158655,0.024221365,-0.008296089,0.00495275,-0.038122587,-0.026064991,-0.019429662,-0.020334042,0.02337964,-0.010375036,-0.000973717,-0.004375797,0.095430925,-0.041105999,-0.021313101,0.010756693,0.102210543,-0.016722492,-0.025153874,0.019723735,-0.005977426,0.079304415,-0.017104046,-0.038761984,-0.015185406,0.011774032,0.025229978,0.000187032,-0.055259057,-0.046153378,-0.022418158,0.015733375,0.019759707,-0.013714792
ave_rh,0.003080861,-0.00538799,-0.034248941,0.026176855,-0.067883841,-0.043407568,-0.083185999,-0.033435571,-0.024445453,-0.005176615,-0.002116913,0.010477875,0.011885695,-0.012391537,-0.003767049,-0.020060951,-0.073119518,-0.115577046,-0.02194326,0.020561007,-0.038794455,0.004745352,0.033074485,-0.054853975,-0.012406446,0.003724948,0.008453919,0.027615345,0.023680821,-0.023837812,0.01923808,0.004383874,0.00690649,-0.025988609,0.037582888,-0.139801604,0.016735181,-0.00572428,0.038766085,-0.01869721,-0.052307207,-0.019112681,0.05024,0.005043149,-0.029892332,0.039692479,0.022182937,-0.092048836,0.052373522,0.024243292,0.002351747,0.020111863,-0.016668877,0.033859382,0.024145043,0.02701853,0.011787158,0.023455886,0.011827357,0.0578776,0.008035712,0.006036555,0.00612423,0.031147893,0.005744011,0.023290378,-0.013116925,0.018442709,0.025213479,-0.043511974,0.0643657,-0.001993707,-0.142435862,0.026734667,-0.125100618,-0.007482586,0.036414403,0.007230981,0.006366264,0.017212434,0.021568038,-0.013049896,0.110906105,0.060684389,-0.009275438,-0.007046396,0.014185879,0.013769174,0.030614257,0.027226433,0.006984723,0.053525768,-0.01162429,0.004870776,0.004890565,-0.009610195,0.040599545,0.020562996,0.005826074,-0.013498156
ave_hpa,0.103590329,0.022511451,0.162758804,-0.039388761,0.41902646,0.11472198,-0.180697248,0.055545077,-0.007940516,0.015206104,-0.004410378,0.039008497,0.027380227,-0.075743919,-0.023051775,-0.053841392,-0.016948483,-0.007613864,-0.061170177,0.056913002,0.16301753,0.062736681,0.071374085,0.508084286,0.012194762,-0.055655628,0.012801382,-0.028176175,-0.08105138,-0.09280387,-0.039758226,0.001377657,0.021145945,0.007431683,0.01235732,-0.003245214,0.054220235,0.085754643,-0.151217699,0.070937635,0.060537825,-0.044665037,0.004587174,-0.05512203,-0.054598731,-0.070636689,0.013984259,-0.000786794,-0.049329094,-0.107544614,-0.06815439,-0.029024902,-0.010632851,0.022981564,-0.016906707,-0.10984823,-0.009270836,-0.021220176,-0.083851202,-0.138096376,-0.102132596,-0.082377148,0.073961852,0.074315464,0.052896091,0.007063107,0.0371527,-0.007669993,-0.003491081,-0.021572718,0.053269788,0.044471791,0.120468611,0.00882332,-0.129437479,0.043470186,-0.070744828,-0.054235937,-0.468179463,0.08431528,-0.019338794,-0.033059063,-0.436697504,-0.016816861,0.021349761,-0.031796685,-0.078822088,-0.18317707,0.069153432,0.028246465,0.026595268,-0.002954591,-0.019972255,-0.005603618,0.014901082,0.020716732,0.019907759,-0.061528009,0.020670705,-0.001122313
daily_precipitation,-0.015671175,-0.02247154,-0.056045519,-0.008273302,-0.092081844,-0.04747268,-0.005849859,0.002205848,-0.007254562,-0.033779363,-0.016649922,-0.003340191,-0.031112395,-0.008075596,-0.023888785,-0.008174824,-0.021515872,-0.051417529,-0.001732772,-0.004131577,-0.022589979,-0.011865878,-0.022661116,-0.102101155,-0.027791326,-0.00889071,-0.036383892,-0.007832388,-0.012249161,-0.014038892,-0.002467803,-0.01689715,-0.030409744,-0.014219358,0.00016333,-0.04648168,0.003457882,-0.010948516,0.015877499,1.10E-06,-0.018863035,0.006339406,-0.012041014,-0.007744369,-0.024769405,-0.013739361,0.00084844,-0.034992729,0.006079863,-0.011219937,-0.018751567,-0.026142927,-0.028907536,0.001276027,-0.002176995,-0.00310719,-0.002710306,0.002635533,0.000698616,0.028426086,0.033985935,0.025134423,-0.036613835,-0.010397407,-0.004391505,0.000509327,-0.031671468,-0.014666906,0.023451773,-0.024944485,0.022794038,-0.01149427,-0.055275008,-0.002669237,-0.020600207,-0.013380858,0.019544764,-0.009516613,0.080798628,-0.007222244,-0.015727501,0.012545148,0.070246703,0.048198819,-0.024274605,0.002421897,0.020187018,0.014725875,-0.001552746,-0.009510851,-0.001558244,0.013867025,0.005238629,-0.011214436,-0.014261227,-0.045548951,-0.009770832,-0.008738867,0.004981925,0.009287572
SO2,-0.019331111,0.092132738,0.138644049,0.09350296,0.198447271,-0.037806574,0.058992584,-0.106485999,-0.053149427,0.081051579,-0.071981873,-0.151200938,-0.130845129,0.099729742,-0.029601808,-0.019978815,0.389737937,0.111489489,-0.212768463,-0.086356387,0.346228419,0.15108753,0.208613878,0.304197252,-0.028039914,0.098697599,-0.001841368,-0.049756242,-0.274360864,-0.013425446,-0.240833415,-0.103240968,-0.015905426,-0.114063414,0.164110482,0.382215513,0.012747232,-0.123979715,-0.148338323,0.02825236,0.016734,0.000461225,0.05539827,-0.012079395,0.173130558,0.086236314,-0.074496504,0.078302695,0.085609191,-0.008230283,0.070380866,0.055761358,0.060319988,-0.074963127,-0.104944818,0.018419656,-0.146947203,-0.148067011,-0.008134806,-0.144290214,-0.02862309,0.075053788,0.06870093,-0.028181809,-0.197441523,-0.131568813,-0.046147929,0.061313199,-0.028005647,-0.153823407,0.051378962,0.047166672,0.039192635,-0.021824355,-0.085678105,0.017268714,-0.008755965,-0.017927997,-0.26029085,0.124494825,-0.05847203,0.083579099,-0.295014439,0.054044567,-0.005721627,-0.048880917,0.004709925,-0.021361468,0.066596419,0.065368074,0.033660504,-0.018816522,0.010395887,-0.07349039,-0.027664881,0.085001271,0.059198798,0.002169866,0.168688191,0.07347836
NO2,0.084146874,0.010470982,0.10555739,-0.000261163,0.407391494,0.145932856,-0.098792864,0.065317389,0.019916821,-0.015707614,0.056338823,0.102891253,0.098220955,-0.060725273,0.047776429,-0.06099926,-0.075932276,0.052095899,0.10846475,0.111105801,0.052322346,-0.014171676,0.058749971,0.393951128,0.065123724,-0.083648104,0.056830836,0.010131965,0.085447859,-0.034737359,0.081301687,0.079663285,0.01884501,0.092499109,-0.062824305,0.037025987,0.095762338,0.150027671,-0.05633315,0.024608141,0.084906116,-0.011032984,0.024022026,-0.010794277,-0.050932484,-0.032277411,0.08380183,0.041419342,-0.07054347,-0.056705865,-0.046083917,-0.016598739,0.002290262,0.039245702,0.035283818,-0.079654093,0.06044992,0.05511883,-0.045798943,-0.096911335,-0.034907798,-0.108030078,0.04155545,0.100416293,0.118516395,0.091498156,0.046979162,-0.020977762,0.042784937,0.051277238,0.024904384,0.070077827,0.210866659,0.002851714,0.002317521,0.037942554,-0.097695013,-0.07236898,-0.270016177,0.026766926,0.03266001,-0.079428309,-0.288095292,-0.007845708,0.093372841,0.000235227,-0.087752684,-0.082795206,-0.007067826,0.010176051,0.0099516,0.021335439,-0.027461407,-0.016028531,0.092736287,0.009879112,0.00677467,-0.027547438,-0.083505087,-0.05120003
CO,-0.009771159,-0.010207024,0.030120585,-0.008566811,0.084622922,-0.022714239,0.020128827,-0.034823642,-0.017336522,0.005051649,-0.004372427,-0.030820971,-0.025269118,-0.008685749,-0.042334455,-0.030112628,0.036938323,0.002357301,-0.056608609,-0.016549658,0.039261184,0.009223779,0.009351197,0.098204321,-0.01910454,-0.007830588,0.00090947,-0.042146022,-0.057269054,-0.051440144,-0.023253791,-0.045923497,0.001120498,-0.061601651,0.022779607,0.06368577,-0.008563199,-0.021879239,-0.044697554,-0.005324262,0.01715918,-0.007875336,-0.022073475,-0.005564003,0.006874857,0.002724099,-0.034365371,-0.005170947,-0.016144174,-0.02439554,-0.023458638,-0.001958495,-0.016752104,-0.026434945,-0.015379376,-0.019007445,-0.057243854,-0.057485231,-0.012871443,-0.057086054,-0.003181093,0.010433938,-0.021643776,-0.000852836,-0.048178634,-0.033191041,-0.017951808,-0.017238493,-0.02552524,0.004012355,-0.005049598,-0.008669551,0.028095276,-0.022615559,0.02147566,-0.025623412,-0.026664251,-0.031786569,-0.038690807,0.007896879,-0.03938872,-0.006952628,-0.08758195,-0.019161891,-0.00816029,-0.029062183,0.000587173,-0.027384748,0.011111398,-0.014910126,-0.012603683,-0.03027868,-0.001847715,-0.030143789,-0.01804068,0.022691534,0.011183935,-0.005600281,0.023257979,0.031378457
