date,open,high,low,close,volume
2013/1/2,2753.2,2811.65,2732.51,2810.15,162070000
2013/1/3,2810.15,2834.04,2786.26,2809.73,192330000
2013/1/4,2809.73,2821.46,2766.42,2796.08,177000000
2013/1/5,2796.08,2810.15,2758.11,2773.25,158530000
2013/1/6,2773.25,2803.97,2753.41,2794.37,140110000
2013/1/7,2794.37,2810.79,2760.03,2766,155210000
2013/1/8,2766,2772.82,2725.47,2750.64,175990000
2013/1/9,2750.64,2783.27,2748.29,2760.67,154390000
2013/1/10,2735.92,2735.92,2675.98,2689.21,183880000
2013/1/11,2689.21,2698.11,2656.36,2669.37,140590000
2013/1/12,2669.37,2698.38,2634.17,2692.62,186070000
2013/1/13,2692.62,2711.39,2643.77,2659.13,170470000
2013/1/14,2659.13,2678.11,2625.85,2666.38,178590000
2013/1/15,2666.38,2696.89,2657.85,2677.9,185590000
2013/1/16,2677.9,2683.33,2595.27,2600.45,148380000
2013/1/17,2600.45,2639.64,2584.01,2615.32,179300000
2013/1/18,2615.32,2619.59,2534.23,2604.5,207830000
2013/1/19,2604.5,2628.83,2546.17,2561.04,172270000
2013/1/20,2561.04,2591.67,2516.89,2559.23,198190000
2013/1/21,2559.23,2583.56,2522.97,2553.38,150770000
2013/1/22,2553.38,2576.13,2513.06,2543.24,186030000
2013/1/23,2546.85,2600.9,2546.85,2590.54,189660000
2013/1/24,2590.54,2611.49,2571.85,2586.26,154580000
2013/1/25,2586.26,2623.65,2577.03,2602.7,164400000
2013/1/26,2602.7,2633.56,2592.12,2622.52,130950000
2013/1/27,2622.52,2629.5,2588.29,2606.31,134070000
2013/1/28,2606.31,2651.35,2579.28,2640.09,186710000
2013/1/29,2640.09,2674.32,2622.3,2644.37,176240000
2013/1/30,2644.37,2666.67,2628.15,2648.2,146910000
2013/1/31,2648.2,2652.48,2610.59,2619.14,118390000
2013/2/1,2619.14,2639.19,2592.57,2624.1,144490000
2013/2/2,2624.1,2643.69,2608.11,2624.32,138530000
2013/2/3,2624.32,2658.78,2614.86,2649.55,174630000
2013/2/4,2649.55,2669.37,2623.65,2635.59,166840000
2013/2/5,2619.14,2619.14,2579.05,2596.85,147300000
2013/2/6,2596.85,2602.48,2556.31,2583.56,159240000
2013/2/7,2583.56,2622.3,2568.02,2574.77,184320000
2013/2/8,2574.77,2591.44,2540.99,2564.19,148490000
2013/2/9,2564.19,2606.3,2560.13,2602.48,148910000
2013/2/10,2602.48,2637.84,2592.12,2617.12,152590000
2013/2/11,2617.12,2652.48,2603.6,2627.25,184410000
2013/2/12,2627.25,2655.63,2607.88,2635.59,157930000
2013/2/13,2635.59,2669.82,2630.18,2660.36,164330000
2013/2/14,2660.36,2675.22,2636.71,2649.55,140110000
2013/2/15,2649.55,2684.46,2638.06,2676.8,143640000
2013/2/16,2676.8,2696.85,2656.08,2669.59,163580000
2013/2/17,2669.59,2705.18,2661.26,2696.17,170900000
2013/2/18,2696.17,2705.63,2665.54,2683.33,150410000
2013/2/19,2683.33,2698.65,2661.94,2686.71,114790000
2013/2/20,2686.71,2699.55,2657.88,2674.55,145440000
2013/2/21,2674.55,2705.18,2662.39,2687.84,145060000
2013/2/22,2687.84,2714.86,2677.93,2695.72,144410000
2013/2/23,2699.32,2745.5,2699.32,2741.22,222520000
2013/2/24,2741.22,2761.71,2706.53,2755.63,142300000
2013/2/25,2755.63,2775,2724.1,2738.74,177320000
2013/2/26,2738.74,2759.68,2718.24,2727.93,130990000
2013/2/27,2727.93,2734.01,2674.32,2695.72,175930000
2013/2/28,2695.72,2722.75,2688.06,2704.28,132070000
2013/3/1,2704.28,2735.81,2697.97,2707.66,116110000
2013/3/2,2707.66,2738.96,2691.89,2736.94,131610000
2013/3/3,2736.94,2755.63,2716.21,2743.69,142300000
2013/3/4,2743.69,2753.38,2711.49,2727.7,132190000
2013/3/5,2727.7,2736.71,2692.34,2707.21,139340000
2013/3/6,2707.21,2708.78,2668.69,2700.45,124360000
