date,ave_C,min_C,max_C,ave_ws,ave_rh,ave_hpa,daily_precipitation,SO2,NO2,CO,PM2_5,PM10,O38h,AQI,month,day,week
2013/1/1,0.5,-3.5,5.7,3.5,36,972.6,0,76,70,2.335,99,194,37,130,1,1,2
2013/1/2,-2.4,-3.3,1.3,3,30,986.1,0,68,36,1.559,58,123,35,87,1,2,3
2013/1/3,-5.2,-6.7,-3.2,3.5,22,991.8,0,49,30,1.465,35,68,47,59,1,3,4
2013/1/4,-5.7,-7.9,-3.1,2.5,28,982.3,0,142,53,2.404,117,183,24,153,1,4,5
2013/1/5,-4.1,-7.7,1,1.2,40,980,0,170,86,3.409,212,296,26,262,1,5,6
2013/1/6,-4.2,-8,-0.6,1,53,979.1,0,121,100,4.206,309,414,23,359,1,6,7
2013/1/7,-0.6,-4.8,5.1,1.1,46,975.4,0,126,109,4.374,314,418,26,364,1,7,1
2013/1/8,-0.9,-3.8,3.1,1,51,980.2,0,127,95,4.131,314,423,30,364,1,8,2
2013/1/9,-2.1,-6.2,2.6,2.4,40,980.2,0,114,71,3.11,180,279,39,230,1,9,3
2013/1/10,-2.4,-7.5,3.7,1,49,977.3,0,156,108,3.673,279,402,27,329,1,10,4
2013/1/11,1.8,-4.9,10.5,2.2,38,978.6,0,108,86,3.319,192,306,55,242,1,11,5
2013/1/12,-0.7,-6.8,6.3,1.4,39,973.7,0,149,92,3.576,214,336,32,264,1,12,6
2013/1/13,0.1,-6.3,7.8,1.1,46,972.4,0,127,104,4.445,304,420,31,354,1,13,7
2013/1/14,-0.2,-6.4,5.2,1.8,50,974.8,0,153,112,4.821,388,520,30,426,1,14,1
2013/1/15,5.1,0.4,10.4,2.1,35,977,0,104,54,2.309,82,245,59,148,1,15,2
2013/1/16,2.7,-1.7,9.7,1.4,38,980.1,0,109,75,3.53,148,289,46,198,1,16,3
2013/1/17,1,-2.8,5.4,3.1,39,985.6,0,126,76,3.481,164,278,43,214,1,17,4
2013/1/18,-0.7,-4.5,4.3,1.9,50,979,0,173,103,4.617,258,383,33,308,1,18,5
2013/1/19,-1.9,-4.8,0.8,1.4,59,971.6,0,172,112,5.77,390,513,25,427,1,19,6
2013/1/20,0.2,-1.4,3.1,1,84,977.7,0.9,98,80,4.437,284,371,35,334,1,20,7
2013/1/21,2.7,-1.2,7.4,1.7,55,980.3,0,78,50,2.374,67,108,67,90,1,21,1
2013/1/22,2.8,-0.9,8,2,60,978.4,0,91,65,3.088,134,188,57,178,1,22,2
2013/1/23,1.9,-3.8,9.3,1.2,63,972.6,0,98,92,3.731,213,286,44,273,1,23,3
2013/1/24,5,1.1,9.4,1.9,22,980,0,59,47,2.276,42,106,78,78,1,24,4
2013/1/25,4.2,-4.4,12.7,2.9,32,974.4,0,78,64,3.205,101,168,59,133,1,25,5
2013/1/26,5.8,-0.3,13.3,1.9,33,975.9,0,114,77,3.578,127,197,51,168,1,26,6
2013/1/27,3.3,-2.8,10,1.1,40,977.9,0,134,93,4.104,173,269,38,223,1,27,7
2013/1/28,3.7,-1.4,10.2,0.8,43,972.4,0,165,87,4.747,245,314,33,295,1,28,1
2013/1/29,4,-2.9,11.9,2.3,48,972.2,0,121,86,4.958,295,374,51,345,1,29,2
2013/1/30,5.3,1.4,9.8,2.2,55,970.2,0,156,98,4.917,359,463,38,406,1,30,3
2013/1/31,4.5,0.3,10.2,2.9,76,970.2,0,91,78,4.519,297,368,35,347,1,31,4
2013/2/1,4.2,-0.8,10.1,1.6,72,976,0,101,89,5.485,381,471,27,421,2,1,5
2013/2/2,3.4,-0.7,6.5,2,72,977,0,86,79,5.268,310,382,29,360,2,2,6
2013/2/3,2.7,1,5.8,1.8,87,969.3,5.5,58,60,4.48,185,212,28,235,2,3,7
2013/2/4,1.9,1,2.8,2.8,94,972.5,0,53,52,4.406,138,169,20,183,2,4,1
2013/2/5,4.1,0.7,10,2.4,76,974.7,0,82,57,4.344,114,146,45,149,2,5,2
2013/2/6,4.4,0.1,8.5,1.7,80,972.4,0,95,67,5.01,265,311,30,315,2,6,3
2013/2/7,2.4,-0.3,6.5,3,76,979.6,0,72,50,4.039,152,196,36,202,2,7,4
2013/2/8,-0.6,-3.4,3.2,1.6,84,984.2,1.6,67,49,3.697,126,148,39,166,2,8,5
2013/2/9,2,-0.9,7.9,1.4,84,975.7,0,112,52,4.152,260,304,57,310,2,9,6
2013/2/10,1.7,-2.9,7.5,1.6,82,971.1,0,78,49,4.402,499,619,70,500,2,10,7
2013/2/11,-0.2,-0.7,5,2.7,90,980.5,2,48,38,4.131,242,283,35,292,2,11,1
2013/2/12,2.1,-1.4,7.3,1.6,67,982.9,0,55,36,3.76,124,163,73,163,2,12,2
2013/2/13,2.4,-1.8,8,1.4,51,974.8,0,113,49,3.724,92,128,63,122,2,13,3
2013/2/14,4.9,2,9.7,1.1,54,975.3,0,79,44,3.982,107,150,64,140,2,14,4
2013/2/15,4.1,-1.6,10.5,2.3,50,975,0,53,42,3.742,64,117,82,94,2,15,5
2013/2/16,5.1,1.3,9.7,2.3,61,967.2,0,86,48,4.464,256,304,76,306,2,16,6
2013/2/17,6.5,3.8,10.3,1.2,58,968.3,0,91,55,3.348,226,290,56,276,2,17,7
2013/2/18,2.1,-0.1,8,1.3,84,976.7,3.3,37,42,1.741,86,124,60,114,2,18,1
2013/2/19,1.2,-0.5,4.3,2.1,89,978.8,0,48,44,1.586,92,115,42,122,2,19,2
2013/2/20,3.9,1.1,8.1,1.8,71,978,0,68,51,1.766,99,126,45,130,2,20,3
2013/2/21,6.1,1.8,12.1,1.5,66,979.1,0,82,63,2.255,134,179,67,178,2,21,4
2013/2/22,6.1,-0.7,12.9,1.3,59,978.3,0,63,72,2.324,121,171,78,159,2,22,5
