date,ave_C,min_C,max_C,ave_ws,ave_rh
trend,0.5,-3.5,5.7,3.5,36
yhat_lower,-2.4,-3.3,1.3,3,30
yhat_upper,-5.2,-6.7,-3.2,3.5,22
trend_lower,-5.7,-7.9,-3.1,2.5,28
trend_upper,-4.1,-7.7,1,1.2,40
additive_terms,-4.2,-8,-0.6,1,53
additive_terms_lower,-0.6,-4.8,5.1,1.1,46
additive_terms_upper,-0.9,-3.8,3.1,1,51
,-2.1,-6.2,2.6,2.4,40
,-2.4,-7.5,3.7,1,49
,1.8,-4.9,10.5,2.2,38
,-0.7,-6.8,6.3,1.4,39
,0.1,-6.3,7.8,1.1,46
,-0.2,-6.4,5.2,1.8,50
,5.1,0.4,10.4,2.1,35
,2.7,-1.7,9.7,1.4,38
,1,-2.8,5.4,3.1,39
,-0.7,-4.5,4.3,1.9,50
,-1.9,-4.8,0.8,1.4,59
,0.2,-1.4,3.1,1,84
,2.7,-1.2,7.4,1.7,55
,2.8,-0.9,8,2,60
,1.9,-3.8,9.3,1.2,63
,5,1.1,9.4,1.9,22
,4.2,-4.4,12.7,2.9,32
,5.8,-0.3,13.3,1.9,33
,3.3,-2.8,10,1.1,40
,3.7,-1.4,10.2,0.8,43
,4,-2.9,11.9,2.3,48
,5.3,1.4,9.8,2.2,55
,4.5,0.3,10.2,2.9,76
,4.2,-0.8,10.1,1.6,72
,3.4,-0.7,6.5,2,72
,2.7,1,5.8,1.8,87
,1.9,1,2.8,2.8,94
,4.1,0.7,10,2.4,76
,4.4,0.1,8.5,1.7,80
,2.4,-0.3,6.5,3,76
,-0.6,-3.4,3.2,1.6,84
,2,-0.9,7.9,1.4,84
,1.7,-2.9,7.5,1.6,82
,-0.2,-0.7,5,2.7,90
,2.1,-1.4,7.3,1.6,67
,2.4,-1.8,8,1.4,51
,4.9,2,9.7,1.1,54
,4.1,-1.6,10.5,2.3,50
,5.1,1.3,9.7,2.3,61
,6.5,3.8,10.3,1.2,58
,2.1,-0.1,8,1.3,84
,1.2,-0.5,4.3,2.1,89
,3.9,1.1,8.1,1.8,71
,6.1,1.8,12.1,1.5,66
,6.1,-0.7,12.9,1.3,59
,7,2,13.4,1.4,49
,9.7,5.4,15,1.9,53
,8.6,4.7,12.3,1.3,63
,8.4,3.2,15.8,1.6,68
,10.1,5.2,16.2,1.9,58
,10.4,7,14.9,2.6,47
,4.7,3.2,11.6,3.3,18
,6.5,1.9,13,2.5,31
,11.1,3.7,18.9,2.7,29
,10.6,3,18.3,2.3,32
,11.9,4.4,19.9,1.8,31
,16.2,8.5,23.4,3.5,26
,15.6,7.4,26,1.9,29
,19.8,12.1,30.3,2.3,27
,17.5,12.2,23.4,3.6,26
,10.2,7.9,16.8,5.5,20
,7.6,4.3,11.1,3.5,44
,13,9.2,19,3,33
,11.4,8.7,15.4,5.1,42
,8.9,6.4,11.9,4.2,53
,9.4,3.4,15.4,2,53
,12,10,14,2.3,59
,15.2,9.7,23.3,3,51
,17.6,10.8,25.5,2.2,26
,17.9,12.5,24.6,1.9,29
,15.7,11,20.9,3.6,29
,11,7.7,16.9,3.3,53
,13.5,8.9,21,1.9,59
,15.2,8.5,24.6,2.1,47
,13.9,11.2,20.2,4.2,27
,9,7.3,14.2,4.2,45
,11.5,4.8,20.5,2,63
,15.1,6.7,26.1,1.2,48
,18.3,10.8,25.9,1.3,38
,14.1,9.3,21,3.8,50
,15.4,8.8,23.2,2.3,52
,13.7,10,18.7,3.6,62
,15.7,9.9,22.5,1.3,52
,13.2,10.3,18.6,4,33
,15.7,9.7,21.5,2.5,48
,13.6,12,18.9,3.7,73
,10.6,8,12.8,3.3,59
,10.5,4.5,17.6,1.6,46
,13.2,5.2,21.9,2.6,42
,14.4,11.8,17.9,3.6,32
,11.3,6.7,16.7,3.2,16
,11.3,6.1,18.2,1.6,25
,15,6.7,24.3,1.4,32
,17.1,8.7,26.1,2,35
,20.1,13,27.2,3.4,31
,22.4,14.2,32,2.1,25
,23.6,16.5,32,2.4,25
,24.4,19.2,31.8,3.4,25
,21.5,16.1,28.1,3.9,41
,17.2,14.7,26,8.2,50
,7.5,5,14.7,4.9,73
,7.4,3.5,12,2.1,77
,10.7,7.3,15.7,1.9,67
,10.7,9.3,13.2,1.3,88
,13.5,8.6,20.6,0.9,82
,17.6,11.4,25.5,1.6,69
,19.9,13.4,27.4,1.9,39
,20.7,12.7,27.7,2.2,39
,23.8,15.6,31.8,1.4,48
,23.4,18.3,27.8,2.2,51
,18.3,14.3,25.7,2.5,62
,19,12.7,26.4,1.8,58
,19.5,12.7,26.2,1.6,48
,23,17.5,29.8,1.8,44
,22.3,16.3,28.7,3.1,45
,21.8,17.5,26.3,2.8,50
,19.9,17.6,24.2,4.3,66
,17.8,16.1,19.3,4.2,80
,17.7,16.1,19.2,2.8,81
,16.8,15.9,18.9,3.1,82
,18.6,15.2,24.4,3.4,64
,20.2,11.9,28.8,1.3,39
,23.6,14.1,32.9,2.3,30
,26.3,15.7,36.6,1.8,27
,27.9,19.5,35.3,2.1,31
,26.8,21.1,30.9,1.9,38
,23.3,21.6,27.6,4.9,48
,20.4,16.6,24.4,3.2,73
,16.9,16.3,21.4,2.5,93
,20.3,15.7,26.9,1.4,72
,24.2,18,30.7,2.2,55
,25.4,17.7,33.2,1.8,38
,27.8,19,35.6,1.3,41
,26.7,23,33.1,2.9,59
,22.4,18.6,28.4,2.7,71
,21.9,19.2,25.2,3,76
,19.8,18.6,23.4,3.4,92
,20.4,18.1,25.1,1.9,88
,23.7,17.9,29.7,2.3,74
