date,K29.500,E14.900,I10.x00,E05.900,J40.x00,G47.900,J03.900,N18.900,E03.900,I63.900,R51.x00,E04.101,R42.x00,H10.900,F41.101,H52.701,J06.900,L30.902,Z00.001,I25.103,J39.900,E78.500,I10.x04,J18.000,F20.900,I25.101,I49.900,M81.901,N97.900,M25.500,N96.x00,F32.900,I70.900,F32.901,H35.900,R50.900,N04.900,F41.900,E28.200,N41.900,D69.000,I10  02,L70.900,K29.502,R21.x00,K52.916,Z49.201,L28.000,N39.000,N20.901,D64.900,K04.000,G40.901,C50.900,N46.x00,L50.900,M06.900,M32.900,E14.901,J30.400,K30.x00,K73.900,I63.801,L21.900,Z95.501,C34.900,I51.900,B07.x00,N02.801,R94.600,H66.900,N03.900,K52.905,N19.x03,J03.901,K59.000,K02.900,J31.200,B08.501,I10.x05,M45.x00,M13.900,L28.203,N19.x01,R10.400,K21.001,N39.001,E05.901,H81.901,N40.x00,I25.100,B02.900,J40  03,E07.900,F09.x00,R00.200,H26.900,J06.903,E83.503,B18.107
2014/1/1,205,211,151,67,90,87,45,31,39,51,20,16,38,36,55,35,59,34,13,20,84,27,51,49,23,2,18,17,16,26,15,21,30,17,0,32,15,17,22,17,17,0,19,0,21,6,12,9,30,13,16,20,38,15,6,18,12,8,0,4,15,9,11,8,2,8,5,15,12,3,14,22,15,4,9,11,16,8,11,5,8,3,3,17,4,9,2,0,16,7,0,7,0,0,3,5,11,0,11,0
2014/1/2,0,1,2,0,75,0,43,25,0,3,0,0,0,0,0,0,42,0,1,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,41,8,0,0,0,9,0,0,0,0,8,2,0,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,1,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014/1/3,135,182,159,95,72,78,71,57,48,31,30,19,35,18,51,6,80,36,27,22,50,30,20,38,41,28,25,12,26,33,13,25,15,20,7,53,24,26,18,6,26,0,24,0,21,12,14,18,11,10,14,21,12,7,7,11,17,1,0,2,9,10,21,7,4,5,15,8,8,3,17,13,2,11,10,21,8,3,4,6,8,24,1,10,7,10,0,2,5,9,24,8,0,0,11,2,0,0,11,1
2014/1/4,195,169,155,170,100,83,61,62,31,59,59,37,43,56,47,19,66,26,17,32,82,39,50,48,36,18,20,23,13,27,24,14,28,23,52,51,12,19,25,23,14,0,8,0,13,17,13,7,25,11,24,25,11,11,6,16,8,14,0,4,9,5,14,5,5,4,13,9,15,4,3,10,12,12,4,12,14,19,2,2,19,2,4,5,7,0,12,1,11,7,0,7,0,11,15,12,3,0,9,1
2014/1/5,55,58,65,78,71,19,28,46,19,17,20,10,18,39,18,12,64,29,26,7,20,5,11,32,14,8,9,8,16,3,11,2,1,6,0,51,4,3,20,15,2,0,10,0,0,6,0,6,0,5,6,0,5,3,8,8,0,2,0,7,3,0,5,5,1,2,10,12,0,1,4,3,8,7,1,2,1,0,2,4,1,0,1,4,7,1,13,0,0,5,0,4,0,0,2,8,2,0,0,28
2014/1/6,0,0,1,0,66,0,52,1,0,0,0,0,0,0,0,0,56,1,1,2,3,0,0,39,0,0,0,0,0,0,0,0,0,0,0,70,9,0,0,0,9,0,0,0,2,9,0,0,3,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,7,0,0,2,1,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014/1/7,180,131,177,116,91,72,52,72,40,47,39,23,14,69,57,73,43,37,29,43,61,43,26,42,31,23,23,16,13,29,26,16,3,14,12,48,39,15,21,14,47,0,23,0,31,8,33,14,23,14,14,23,20,23,14,23,9,11,0,8,5,9,13,14,6,3,11,17,25,15,23,13,10,8,10,21,10,4,3,6,9,27,1,10,4,9,0,0,7,17,30,5,0,1,9,10,13,0,18,16
2014/1/8,246,155,114,109,114,74,55,62,36,48,35,7,48,34,45,32,57,19,33,32,60,24,76,30,37,6,25,20,20,25,17,17,19,15,12,42,13,4,16,0,5,0,16,0,15,13,16,17,8,17,15,36,35,17,13,11,12,17,0,9,12,10,21,19,7,15,4,14,18,5,5,19,9,7,9,6,7,8,0,16,14,5,7,11,0,4,6,0,15,5,3,7,0,0,5,3,5,0,5,40
2014/1/9,149,141,143,347,104,69,96,57,54,50,35,51,27,52,41,20,51,32,19,44,57,27,21,53,38,30,42,14,10,18,5,20,22,21,9,42,27,24,2,16,28,0,19,0,39,11,18,19,9,8,4,15,23,20,1,13,13,10,0,8,2,17,7,16,6,13,6,12,16,15,3,17,2,6,13,1,12,1,9,10,5,8,1,14,7,1,2,2,9,11,0,13,0,1,10,13,18,0,10,22
2014/1/10,107,140,166,120,79,51,41,69,37,35,37,41,38,13,46,17,72,19,23,15,57,35,63,39,46,24,26,22,4,21,6,26,20,20,10,50,21,13,4,6,27,0,22,0,7,10,17,12,12,7,17,19,13,7,13,11,16,7,0,1,5,12,5,6,3,4,9,18,7,2,12,12,2,9,1,20,21,6,1,11,10,4,0,10,1,8,0,0,12,9,26,9,0,3,11,2,1,0,10,1
2014/1/11,179,130,145,162,144,110,64,54,35,59,34,16,31,45,58,32,73,27,13,36,92,33,40,54,30,12,23,22,20,20,14,30,13,25,41,86,5,3,18,24,3,0,13,0,17,7,19,22,21,8,13,12,23,12,14,6,14,14,0,10,8,4,14,4,4,6,9,3,18,8,5,0,15,8,3,5,3,16,4,6,7,24,1,24,8,1,3,0,9,8,7,6,0,0,5,9,4,0,15,0
2014/1/12,62,71,44,35,64,22,48,47,6,27,28,9,17,25,14,14,41,16,15,11,3,11,21,22,10,7,7,16,21,8,19,4,2,12,2,58,4,4,20,19,2,0,11,0,3,4,1,5,15,2,23,0,7,2,9,10,8,1,0,4,14,25,6,15,6,2,16,8,0,3,2,2,10,11,1,13,1,1,0,3,3,1,5,5,2,0,9,0,8,15,0,10,0,0,2,4,2,0,0,1
2014/1/13,0,2,3,0,60,2,58,0,0,1,0,0,0,6,0,0,56,0,4,0,10,0,0,28,0,0,0,0,0,0,0,0,0,0,0,49,9,0,0,0,18,0,0,0,0,7,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,1,1,1,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014/1/14,174,198,172,137,83,81,78,70,53,25,41,37,34,83,70,80,64,43,40,37,92,47,33,27,26,36,22,43,15,39,30,18,12,24,32,79,31,14,26,6,24,0,20,0,16,14,61,8,21,29,31,28,24,8,25,18,21,6,0,2,8,7,17,13,3,8,21,6,5,5,15,24,8,13,4,14,16,9,4,7,7,12,2,12,18,4,0,1,10,14,28,9,0,0,10,13,13,0,13,14
2014/1/15,254,152,140,127,122,77,40,39,54,43,42,19,58,32,51,35,58,38,18,26,57,45,38,28,22,2,10,26,15,12,22,27,30,8,20,56,21,8,17,3,7,0,14,0,44,6,24,18,21,13,12,30,41,12,6,9,24,7,0,5,18,11,13,4,7,8,4,13,9,8,7,23,8,5,4,7,6,8,2,3,5,10,1,7,10,5,0,0,9,7,0,8,0,1,16,3,7,0,7,1
2014/1/16,143,155,126,366,69,53,97,43,61,48,42,44,51,60,34,58,58,31,26,20,78,23,32,30,26,7,28,23,17,28,14,26,14,14,17,34,28,4,22,27,43,0,14,0,12,12,6,25,15,17,7,11,9,23,7,13,10,15,0,11,18,32,5,14,7,10,10,23,26,6,0,10,7,6,4,8,6,10,4,11,15,1,4,17,6,2,0,1,10,8,0,4,0,3,12,14,14,0,8,41
2014/1/17,214,144,163,106,108,127,71,30,48,41,63,56,22,18,57,23,68,44,19,18,50,52,26,25,33,23,13,10,17,30,9,26,12,17,12,31,34,29,7,10,23,0,26,0,29,2,14,13,18,5,39,23,9,17,8,7,9,8,0,1,12,19,15,8,10,9,13,13,4,11,16,18,13,6,5,8,5,6,4,8,11,21,1,7,13,3,2,1,4,7,22,16,0,0,13,12,7,0,7,0
2014/1/18,183,151,132,221,107,91,49,55,48,46,30,23,18,38,60,44,71,30,22,22,77,26,43,48,30,14,31,28,13,20,11,13,25,24,43,38,32,6,11,34,7,0,8,0,19,5,5,15,3,12,22,26,30,9,11,13,6,10,0,6,9,1,16,6,16,13,14,8,4,12,8,20,13,18,8,4,10,14,0,12,15,4,3,13,9,5,0,0,23,11,1,7,0,10,9,15,15,0,11,0
2014/1/19,60,51,70,23,98,31,32,53,11,15,15,11,16,46,14,42,73,23,5,10,11,9,6,27,8,8,11,3,11,7,20,4,0,9,0,43,6,1,11,0,4,0,14,0,0,2,0,1,5,11,3,5,5,2,17,3,0,1,0,4,9,0,9,8,2,1,5,4,3,4,0,11,5,8,6,7,8,0,1,2,1,1,0,3,5,2,0,0,4,3,0,10,0,0,8,11,0,0,0,3
2014/1/20,0,0,7,0,40,0,84,0,0,1,1,0,4,0,0,0,40,0,3,1,1,0,0,37,0,2,0,0,0,0,0,0,0,0,0,43,6,0,0,0,16,0,0,0,6,8,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,2,1,3,1,4,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014/1/21,238,143,164,115,147,88,75,48,47,46,34,17,31,84,51,101,77,28,40,31,63,46,29,29,26,18,24,18,16,25,15,16,9,23,38,37,39,16,9,34,49,0,23,0,45,8,33,18,22,21,28,17,12,15,13,20,10,9,0,4,8,11,7,14,10,10,17,12,26,9,7,35,3,17,7,11,9,11,1,11,7,13,4,4,9,4,4,1,17,17,19,9,0,1,4,4,21,0,14,20
2014/1/22,255,130,112,138,90,97,48,44,62,57,39,26,39,29,38,71,99,54,12,25,105,28,60,38,26,1,22,18,8,32,12,25,21,14,15,53,23,13,10,13,9,0,11,0,17,11,22,16,27,10,14,12,39,22,6,18,13,11,0,4,10,3,8,16,3,12,8,16,11,12,9,30,12,6,3,8,14,18,1,24,6,5,0,10,16,5,7,0,13,3,4,3,0,0,14,10,2,0,9,2
2014/1/23,117,112,146,299,117,99,77,24,53,32,34,43,26,42,41,59,54,37,31,12,58,41,34,23,36,20,27,18,7,19,11,21,27,15,13,35,49,17,9,11,46,0,16,0,43,9,12,30,8,16,11,11,14,20,9,7,14,14,0,6,6,15,5,12,10,10,8,11,23,14,5,23,5,14,12,9,8,8,4,18,5,17,3,8,12,0,0,2,7,10,2,3,0,11,8,14,11,0,18,18
2014/1/24,168,116,153,120,47,72,53,41,60,28,22,33,13,14,50,45,52,30,18,22,82,26,36,20,38,39,18,24,9,16,9,16,16,25,23,14,26,32,14,4,17,0,19,0,3,15,7,18,13,4,8,11,4,4,13,14,15,11,0,2,5,7,6,7,10,3,6,16,12,9,11,12,1,3,8,5,5,10,3,7,1,3,1,7,2,4,0,0,4,6,21,7,0,1,12,13,6,0,8,2
2014/1/25,164,129,123,203,133,97,67,48,53,22,20,22,23,42,42,49,60,32,22,33,49,20,22,40,39,8,15,17,17,15,15,16,14,20,57,28,11,4,12,19,2,0,22,0,33,5,8,12,25,15,25,12,27,14,17,14,6,4,0,3,13,5,10,6,6,9,6,9,12,6,6,16,13,4,9,6,12,8,1,10,6,13,0,2,10,2,5,0,1,9,1,5,0,17,8,7,2,0,15,0
2014/1/26,56,61,93,26,78,25,18,41,27,24,18,5,19,26,2,24,71,27,14,13,17,9,6,26,8,6,5,7,8,15,12,9,4,6,1,42,11,7,12,13,4,0,13,0,4,2,0,10,0,0,10,2,5,1,8,4,0,4,0,5,4,1,3,7,6,3,14,7,0,8,8,1,4,9,2,6,1,1,3,6,2,1,2,7,1,2,0,0,3,8,1,10,0,0,6,11,7,0,0,0
2014/1/27,48,47,77,20,41,36,57,1,9,8,18,4,13,28,14,42,52,12,18,9,71,20,11,33,13,10,12,15,3,4,3,6,11,7,0,30,22,4,1,21,18,0,13,0,8,3,4,10,1,7,9,0,1,4,4,5,3,3,0,3,6,0,3,5,1,4,5,3,7,2,7,8,1,5,6,4,0,2,4,2,3,3,0,2,4,1,2,0,10,3,0,3,0,0,4,9,1,0,3,0
2014/1/28,221,122,170,75,141,96,70,44,35,47,20,13,9,66,46,70,50,25,26,16,89,62,27,49,15,15,23,18,2,24,9,17,9,16,2,24,21,6,10,12,35,0,22,0,34,14,16,17,6,11,32,22,9,8,7,7,8,3,0,4,12,1,14,9,3,3,21,8,19,4,5,9,3,15,6,18,4,10,7,13,11,16,2,7,12,8,1,2,1,16,21,2,0,5,8,3,10,0,13,14
2014/1/29,144,87,94,58,74,60,46,47,23,44,10,20,11,9,31,44,67,33,20,16,88,23,29,27,21,13,13,19,8,22,5,8,17,7,0,34,5,4,4,4,2,0,20,0,21,13,3,17,5,11,15,7,17,11,6,6,4,3,0,3,15,0,4,8,6,12,6,19,1,3,9,15,13,5,2,5,4,6,1,10,7,6,3,2,5,1,3,0,8,7,2,11,0,0,3,5,3,0,7,1
2014/1/30,88,88,94,243,135,67,99,23,26,33,8,18,14,31,17,40,71,31,12,11,53,39,19,35,12,5,18,18,1,9,6,22,6,11,1,23,14,10,2,10,14,0,6,0,39,10,1,13,9,2,7,25,12,8,3,7,5,2,0,4,10,13,13,9,3,5,11,3,8,16,1,5,11,14,12,5,4,1,6,9,5,13,0,13,3,0,2,0,2,10,0,8,0,1,10,5,9,0,9,11
2014/1/31,32,32,31,19,60,42,42,16,8,7,2,3,0,15,17,9,58,24,8,5,35,4,10,29,4,8,10,2,1,9,2,7,0,0,0,22,7,0,3,1,1,0,7,0,6,3,2,5,2,8,6,5,4,4,1,6,2,1,0,0,3,2,0,0,1,0,4,0,0,7,0,1,2,4,8,6,0,0,1,2,6,3,0,11,4,0,0,0,1,2,0,6,0,2,1,4,0,0,2,0
2014/2/1,1,0,0,0,50,0,55,22,0,2,0,0,0,6,0,0,32,1,0,1,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,2,0,0,0,1,3,0,0,1,0,0,0,1,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,7,0,4,0,0,0,2,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2014/2/2,0,4,2,0,64,1,42,13,0,0,0,1,0,3,0,0,51,0,1,2,2,0,0,27,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,2,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014/2/3,1,0,1,0,20,0,80,1,0,5,2,0,3,5,0,0,18,0,0,2,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,2,0,0,2,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,8,0,0,0,3,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2014/2/4,0,1,1,0,21,0,91,20,0,3,0,0,0,5,0,0,5,0,0,0,2,0,0,23,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,3,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,6,0,0,0,2,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2014/2/5,69,48,54,17,59,23,69,40,9,21,9,5,15,15,12,8,21,28,11,1,7,7,5,28,4,10,11,7,4,7,9,9,12,3,0,16,0,4,7,12,11,0,17,0,3,7,2,3,3,3,4,5,4,4,3,4,0,3,0,3,6,4,12,16,0,0,3,11,3,0,2,8,19,1,3,3,7,4,1,2,3,2,0,3,6,3,3,0,2,0,0,15,0,0,1,3,13,0,0,0
2014/2/6,54,32,52,48,32,21,57,28,6,13,6,7,13,2,15,8,20,18,7,3,2,5,10,18,8,7,3,3,10,5,8,4,2,5,0,21,12,6,6,17,5,0,11,0,0,5,0,0,1,14,3,10,2,0,0,4,3,2,0,0,3,5,7,1,2,6,3,2,5,3,2,0,11,3,6,3,5,0,4,0,2,0,0,10,4,0,1,0,0,1,0,8,0,4,2,6,4,0,0,9
2014/2/7,74,48,52,18,37,16,35,46,16,13,4,9,15,12,15,20,14,9,5,2,4,3,7,15,17,12,5,3,10,7,18,8,4,2,0,23,1,5,6,31,4,0,6,0,0,15,0,3,2,9,2,5,2,6,5,0,4,3,0,7,2,0,7,1,1,5,2,0,0,8,16,1,8,2,4,2,7,0,2,3,3,1,0,8,17,0,13,0,4,1,20,4,0,4,5,2,4,0,1,0
2014/2/8,126,76,82,78,84,49,54,50,25,31,27,15,34,48,8,34,42,36,11,12,35,24,26,17,13,10,15,25,9,6,5,9,15,9,9,10,14,4,8,19,7,0,18,0,17,6,6,14,10,8,22,2,12,6,6,13,5,4,0,8,14,2,10,16,2,16,9,16,7,12,6,8,16,3,5,8,4,21,3,9,6,6,6,6,8,1,11,0,13,15,6,9,0,6,7,26,5,0,13,2
2014/2/9,91,89,105,28,33,43,41,45,20,38,30,10,35,14,22,32,37,26,13,11,34,12,18,12,10,18,12,12,15,23,14,5,5,7,0,11,4,0,16,2,2,0,11,0,10,16,5,8,1,11,14,24,5,4,14,6,5,5,0,5,3,1,3,11,2,9,12,6,2,2,1,3,9,9,5,5,25,7,0,0,5,4,5,9,2,0,0,0,5,9,0,7,0,1,6,6,6,0,1,1
2014/2/10,1,2,2,0,47,0,44,0,0,1,0,0,0,0,0,0,25,0,5,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,3,11,0,0,0,6,0,0,0,0,5,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014/2/11,229,189,154,124,69,81,57,75,35,30,17,20,25,63,35,120,23,60,34,34,61,46,21,22,25,30,31,24,7,19,32,10,17,14,22,8,29,33,18,19,36,0,26,0,27,8,28,22,15,21,31,50,21,12,13,10,11,14,0,5,13,9,37,13,6,15,15,10,18,5,11,14,9,13,8,15,16,11,3,32,15,14,2,26,13,2,10,0,6,16,18,8,0,7,25,8,16,0,7,19
2014/2/12,235,151,120,103,57,74,39,48,44,50,35,17,38,31,44,86,37,48,23,45,57,43,52,32,31,1,26,25,18,32,19,15,22,27,19,6,15,8,10,3,12,0,18,0,12,20,13,20,15,9,10,24,38,13,13,13,13,13,0,9,26,5,10,8,5,18,4,16,8,5,12,23,3,15,6,12,18,13,0,8,9,7,1,16,2,2,1,0,17,7,3,8,0,4,13,5,5,0,23,2
2014/2/13,187,151,148,259,52,53,53,40,35,39,39,20,24,33,42,77,21,37,26,41,30,29,56,7,45,23,27,17,18,24,7,19,12,20,10,11,32,14,10,28,25,0,27,0,20,7,5,16,21,14,15,9,7,11,12,19,9,24,0,13,14,24,20,15,6,14,12,12,21,6,3,5,6,17,5,16,13,4,7,10,14,9,1,18,7,0,8,0,4,8,6,12,0,3,10,24,14,0,5,20
2014/2/14,178,137,123,96,29,75,32,60,71,23,22,16,23,27,57,28,14,22,32,12,50,31,39,16,28,18,41,19,8,24,17,16,20,25,22,7,23,17,11,6,19,0,19,0,3,1,10,15,7,6,17,14,6,8,17,11,9,8,0,6,3,9,9,7,0,5,15,12,4,0,10,7,14,12,1,8,5,5,2,13,8,1,0,7,2,5,0,0,10,10,34,11,0,4,6,5,9,0,4,0
2014/2/15,110,112,107,173,92,64,22,35,42,37,24,28,15,31,46,30,19,19,10,23,18,32,18,19,17,6,22,8,18,10,23,17,16,14,47,4,19,5,17,30,4,0,12,0,30,4,6,16,16,5,11,7,15,6,16,3,9,6,0,13,5,0,14,8,3,5,7,13,7,13,6,10,6,4,6,6,7,5,1,5,3,4,3,10,3,2,0,0,9,5,1,13,0,4,9,11,3,0,11,0
2014/2/16,78,37,88,51,23,23,15,38,21,19,18,7,24,24,15,15,30,25,7,8,6,5,17,6,11,9,6,7,7,4,26,4,5,12,0,3,4,1,14,7,1,0,6,0,0,4,1,6,15,7,7,9,2,7,12,4,0,0,0,12,7,30,4,4,5,1,9,3,0,3,5,2,3,8,1,7,10,2,0,7,0,0,1,13,1,3,0,1,5,8,0,9,0,4,2,6,2,0,0,0
2014/2/17,0,0,0,0,20,0,48,0,0,1,1,0,0,1,0,0,24,0,3,0,1,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,12,0,0,0,0,4,2,0,1,0,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,1,4,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
