date,K29.500,E14.900,I10.x00,E05.900,J40.x00,G47.900,J03.900,N18.900,E03.900,I63.900,R51.x00,E04.101,R42.x00,H10.900,F41.101,H52.701,J06.900,L30.902,Z00.001,I25.103,J39.900,E78.500,I10.x04,J18.000,F20.900,I25.101,I49.900,M81.901,N97.900,M25.500,N96.x00,F32.900,I70.900,F32.901,H35.900,R50.900,N04.900,F41.900,E28.200,N41.900,D69.000,I10  02,L70.900,K29.502,R21.x00,K52.916,Z49.201,L28.000,N39.000,N20.901,D64.900,K04.000,G40.901,C50.900,N46.x00,L50.900,M06.900,M32.900,E14.901,J30.400,K30.x00,K73.900,I63.801,L21.900,Z95.501,C34.900,I51.900,B07.x00,N02.801,R94.600,H66.900,N03.900,K52.905,N19.x03,J03.901,K59.000,K02.900,J31.200,B08.501,I10.x05,M45.x00,M13.900,L28.203,N19.x01,R10.400,K21.001,N39.001,E05.901,H81.901,N40.x00,I25.100,B02.900,J40  03,E07.900,F09.x00,R00.200,H26.900,J06.903,E83.503,B18.107
2013/4/4,6,13,21,0,20,16,0,2,0,14,5,0,0,25,12,9,0,23,27,1,9,4,6,3,16,69,4,8,0,10,0,20,3,1,0,3,0,2,0,7,0,190,0,128,0,5,8,0,1,13,8,0,10,0,0,3,3,2,133,1,19,1,7,0,0,0,0,0,6,0,7,0,5,0,0,6,0,1,0,1,5,4,0,2,5,43,34,105,1,5,0,0,34,0,0,1,2,25,2,2
2013/4/5,0,0,8,1,19,0,9,18,0,0,4,0,5,7,0,1,0,0,0,1,30,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,12,0,3,1,0,0,2,0,0,0,0,2,7,0,0,0,2,0,0,0,0,0,0,6,0,2,0,0
2013/4/6,46,16,73,3,12,26,0,18,2,29,40,7,57,42,16,40,0,28,7,15,23,23,17,0,8,7,20,11,0,5,15,24,22,1,0,8,0,6,14,0,0,2,0,0,1,1,0,2,0,8,10,1,5,1,0,1,4,2,0,10,5,0,12,0,1,0,0,0,1,0,15,0,12,0,0,9,0,2,1,10,7,11,0,5,0,9,21,52,7,1,28,4,0,0,9,4,1,0,0,0
2013/4/7,7,13,39,3,4,15,1,20,0,23,12,0,3,11,9,15,1,7,19,17,5,3,10,0,3,12,10,7,0,16,2,4,0,2,0,5,2,0,1,2,0,0,3,0,0,1,0,5,3,12,8,1,0,0,0,0,1,0,0,9,11,0,4,0,0,1,0,0,0,1,2,1,6,0,0,6,0,12,0,8,2,0,0,2,11,5,12,21,1,4,2,8,0,0,3,11,0,0,0,1
2013/4/8,37,43,77,1,25,56,10,1,0,44,23,0,17,27,39,14,0,31,26,16,70,23,15,7,15,7,17,14,0,32,17,21,4,5,0,17,6,1,16,7,16,5,2,0,1,5,1,6,3,10,7,3,4,0,3,7,4,3,2,7,9,3,5,1,1,1,2,0,3,1,3,5,2,0,4,6,0,9,4,4,4,2,2,7,0,20,6,8,7,14,20,2,0,0,7,2,1,0,8,0
2013/4/9,28,43,157,2,87,68,42,41,0,56,57,7,35,60,70,57,11,29,35,21,49,14,13,12,34,31,30,15,0,26,15,40,3,26,15,15,10,2,9,13,18,13,3,0,7,19,22,8,12,19,16,12,8,4,12,0,16,22,1,0,16,7,11,0,3,1,0,0,20,0,22,4,9,0,7,9,5,4,12,18,16,7,0,7,22,26,7,50,10,21,23,5,0,1,12,2,17,0,11,0
2013/4/10,87,59,132,1,59,56,44,39,1,53,57,2,44,68,53,36,19,36,19,35,55,24,8,15,26,28,16,28,0,35,18,26,7,19,9,23,12,2,10,8,3,6,0,0,2,16,13,3,35,20,19,7,26,14,1,8,16,24,1,6,38,38,16,1,2,11,0,0,13,0,16,18,7,0,6,10,14,6,8,4,10,15,1,5,33,29,21,4,15,10,2,9,0,0,10,1,39,0,10,0
2013/4/11,25,102,163,36,43,58,52,26,25,56,36,27,32,56,59,31,13,35,29,35,71,22,6,17,26,32,18,9,0,22,17,20,15,26,11,21,2,2,15,9,35,8,5,0,12,14,3,26,13,13,8,12,2,12,2,1,13,8,1,14,11,22,5,2,0,8,0,0,20,3,10,0,12,0,2,13,5,2,3,7,6,23,7,14,15,27,9,12,0,12,0,7,0,0,8,5,19,0,13,0
2013/4/12,40,174,119,101,43,52,39,38,40,46,39,17,38,50,80,11,30,31,31,21,65,26,5,12,38,30,23,22,0,15,6,28,4,25,37,9,6,12,2,5,6,9,5,0,9,6,2,6,4,14,37,6,6,6,9,4,14,9,1,4,17,6,20,2,2,3,0,0,8,9,22,11,2,0,3,16,7,13,4,21,10,11,1,8,0,39,2,2,15,15,29,7,0,0,2,7,1,0,4,0
2013/4/13,28,155,139,66,47,60,58,42,34,54,67,26,30,62,53,38,22,31,17,43,44,37,12,17,19,13,34,11,0,20,20,18,10,8,28,34,2,2,24,7,6,1,1,0,14,11,3,6,6,15,7,10,18,7,4,1,1,4,0,12,12,1,12,2,0,2,0,0,9,3,3,5,8,0,5,2,4,5,7,4,4,22,0,9,5,25,1,6,19,6,0,3,0,0,5,2,7,0,9,0
