feature,mean,min,max,std_dev,var
ave_C,15.57220447,-6.7,35.7,9.906622416,98.1411677
min_C,11.43432223,-11.5,30.9,9.587433722,91.91888537
max_C,20.81597444,-3.2,41.8,10.54925003,111.2866762
ave_ws,2.289776358,0.3,8.2,0.946633301,0.896114607
ave_rh,59.83112734,16,98,16.90375005,285.7367658
ave_hpa,968.5358284,948.7,1000.6,8.951805447,80.13482076
daily_precipitation,1.460429028,0,57,5.104565026,26.05658411
SO2,25.90539305,3,173,23.83349219,568.0353499
NO2,52.57437071,14,141,20.2071031,408.3270159
CO,1.758963607,0.6,74.28042086,2.800688878,7.843858192
PM2_5,74.2970299,9,606,65.34156603,4269.520251
PM10,141.4706972,1.659528336,1020,97.60780577,9527.283747
O38h,81.64097282,7,268,51.47949135,2650.13803
AQI,119.0306777,29,500,71.69714636,5140.480797
month,6.523961661,1,12,3.449206911,11.89702832
day,15.72660885,1,31,8.800820808,77.4544469
week,4,1,7,2.000456569,4.001826484
