date,pediatric,gynecology,emergency
2013/1/1,429,11,382
2013/1/2,535,313,296
2013/1/3,402,256,267
2013/1/4,430,502,268
2013/1/5,303,407,258
2013/1/6,394,398,262
2013/1/7,485,597,266
2013/1/8,456,545,289
2013/1/9,486,485,316
2013/1/10,437,598,299
2013/1/11,438,537,375
2013/1/12,347,284,365
2013/1/13,361,4,456
2013/1/14,572,670,319
2013/1/15,509,591,345
2013/1/16,428,493,338
2013/1/17,392,525,306
2013/1/18,497,473,300
2013/1/19,365,300,295
2013/1/20,345,11,420
2013/1/21,502,661,320
2013/1/22,530,589,303
2013/1/23,531,491,251
2013/1/24,451,705,258
2013/1/25,428,481,294
2013/1/26,280,308,274
2013/1/27,297,8,400
2013/1/28,515,614,304
2013/1/29,422,475,257
2013/1/30,451,422,262
2013/1/31,414,578,264
2013/2/1,334,319,228
2013/2/2,294,254,257
2013/2/3,278,3,312
2013/2/4,449,535,276
2013/2/5,303,442,212
2013/2/6,396,320,251
2013/2/7,259,331,234
2013/2/8,309,179,236
2013/2/9,162,4,269
2013/2/10,212,10,291
2013/2/11,241,4,323
2013/2/12,210,4,315
2013/2/13,267,165,263
2013/2/14,219,127,210
2013/2/15,230,212,205
2013/2/16,156,230,248
2013/2/17,235,275,201
2013/2/18,326,444,231
2013/2/19,309,383,210
2013/2/20,418,352,206
2013/2/21,286,383,171
2013/2/22,336,339,228
2013/2/23,145,279,197
2013/2/24,198,9,303
2013/2/25,353,572,241
2013/2/26,292,533,222
2013/2/27,307,418,310
2013/2/28,240,571,242
2013/3/1,282,453,245
2013/3/2,195,317,241
2013/3/3,290,9,344
2013/3/4,388,547,251
2013/3/5,289,433,293
2013/3/6,370,395,231
2013/3/7,257,526,255
2013/3/8,332,412,242
2013/3/9,217,261,265
2013/3/10,266,14,362
2013/3/11,404,535,295
2013/3/12,310,415,288
2013/3/13,420,387,222
2013/3/14,313,564,276
2013/3/15,397,416,238
2013/3/16,203,254,260
2013/3/17,306,13,359
2013/3/18,456,663,355
2013/3/19,349,574,270
2013/3/20,480,524,269
2013/3/21,372,709,280
2013/3/22,306,487,261
2013/3/23,277,212,284
2013/3/24,337,16,370
2013/3/25,470,596,241
2013/3/26,428,534,261
2013/3/27,407,459,268
2013/3/28,314,623,244
2013/3/29,367,438,278
2013/3/30,243,188,263
2013/3/31,289,8,391
2013/4/1,466,625,270
2013/4/2,446,470,277
2013/4/3,421,440,263
2013/4/4,240,14,382
2013/4/5,363,214,277
2013/4/6,238,262,252
2013/4/7,356,456,267
2013/4/8,488,579,299
2013/4/9,446,509,266
2013/4/10,379,470,280
2013/4/11,327,587,319
2013/4/12,329,525,308
2013/4/13,265,203,307
2013/4/14,327,10,370
2013/4/15,548,611,364
2013/4/16,445,580,290
2013/4/17,494,471,304
2013/4/18,403,725,320
2013/4/19,347,445,303
2013/4/20,254,253,317
2013/4/21,331,12,411
2013/4/22,463,686,326
2013/4/23,442,560,311
2013/4/24,470,486,278
2013/4/25,335,693,313
2013/4/26,422,425,255
2013/4/27,272,338,307
2013/4/28,396,358,279
2013/4/29,472,189,238
2013/4/30,343,236,302
2013/5/1,280,16,384
2013/5/2,406,721,273
2013/5/3,418,459,281
2013/5/4,324,281,261
2013/5/5,359,17,434
2013/5/6,563,677,309
2013/5/7,407,695,314
2013/5/8,460,490,288
2013/5/9,413,712,283
2013/5/10,401,535,280
2013/5/11,331,293,244
2013/5/12,419,15,402
2013/5/13,553,633,265
2013/5/14,520,607,268
2013/5/15,478,466,256
2013/5/16,451,682,275
2013/5/17,387,467,264
2013/5/18,276,311,267
2013/5/19,295,23,366
2013/5/20,549,688,322
2013/5/21,550,596,343
2013/5/22,502,462,252
2013/5/23,454,613,243
2013/5/24,459,451,311
2013/5/25,354,261,179
2013/5/26,301,16,332
2013/5/27,521,677,289
2013/5/28,415,616,250
2013/5/29,426,558,227
2013/5/30,397,641,296
2013/5/31,410,448,254
2013/6/1,292,246,257
2013/6/2,392,6,368
2013/6/3,526,655,264
2013/6/4,443,510,260
2013/6/5,560,533,254
2013/6/6,421,605,277
2013/6/7,468,499,227
