date,ave_C,min_C,max_C,ave_ws,ave_rh,ave_hpa,daily_precipitation,SO2,NO2,CO,PM2_5,PM10,O38h,AQI,month,day,week
2013/1/1,0.169811321,0.188679245,0.197777778,0.405063291,0.243902439,0.460500963,0,0.429411765,0.440944882,0.02354764,0.150753769,0.18887639,0.114942529,0.214437367,0,0,0.166666667
2013/1/2,0.101415094,0.193396226,0.1,0.341772152,0.170731707,0.72061657,0,0.382352941,0.173228346,0.013015669,0.082077052,0.119155111,0.107279693,0.123142251,0,0.033333333,0.333333333
2013/1/3,0.035377358,0.113207547,0,0.405063291,0.073170732,0.83044316,0,0.270588235,0.125984252,0.01173989,0.043551089,0.065145669,0.153256705,0.063694268,0,0.066666667,0.5
2013/1/4,0.023584906,0.08490566,0.002222222,0.278481013,0.146341463,0.647398844,0,0.817647059,0.307086614,0.024484116,0.180904523,0.178074501,0.0651341,0.263269639,0,0.1,0.666666667
2013/1/5,0.061320755,0.089622642,0.093333333,0.113924051,0.292682927,0.603082852,0,0.982352941,0.566929134,0.038124104,0.340033501,0.289039354,0.072796935,0.494692144,0,0.133333333,0.833333333
2013/1/6,0.058962264,0.08254717,0.057777778,0.088607595,0.451219512,0.585741811,0,0.694117647,0.677165354,0.048941089,0.502512563,0.404914155,0.061302682,0.700636943,0,0.166666667,1
2013/1/7,0.143867925,0.158018868,0.184444444,0.101265823,0.365853659,0.514450867,0,0.723529412,0.748031496,0.051221206,0.510887772,0.408842114,0.072796935,0.711252654,0,0.2,0
2013/1/8,0.136792453,0.181603774,0.14,0.088607595,0.426829268,0.606936416,0,0.729411765,0.637795276,0.047923179,0.510887772,0.413752064,0.088122605,0.711252654,0,0.233333333,0.166666667
2013/1/9,0.108490566,0.125,0.128888889,0.265822785,0.292682927,0.606936416,0,0.652941176,0.448818898,0.034066038,0.286432161,0.272345526,0.122605364,0.426751592,0,0.266666667,0.333333333
2013/1/10,0.101415094,0.094339623,0.153333333,0.088607595,0.402439024,0.55105973,0,0.9,0.74015748,0.041707145,0.452261307,0.393130277,0.076628352,0.636942675,0,0.3,0.5
2013/1/11,0.200471698,0.155660377,0.304444444,0.240506329,0.268292683,0.5761079,0,0.617647059,0.566929134,0.036902612,0.306532663,0.298859252,0.183908046,0.452229299,0,0.333333333,0.666666667
2013/1/12,0.141509434,0.110849057,0.211111111,0.139240506,0.280487805,0.481695568,0,0.858823529,0.614173228,0.040390649,0.343383585,0.328318947,0.095785441,0.498938429,0,0.366666667,0.833333333
2013/1/13,0.160377358,0.122641509,0.244444444,0.101265823,0.365853659,0.456647399,0,0.729411765,0.708661417,0.052184827,0.494137353,0.410806094,0.091954023,0.690021231,0,0.4,1
2013/1/14,0.153301887,0.120283019,0.186666667,0.189873418,0.414634146,0.502890173,0,0.882352941,0.771653543,0.057287946,0.634840871,0.509005078,0.088122605,0.842887473,0,0.433333333,0
2013/1/15,0.278301887,0.280660377,0.302222222,0.227848101,0.231707317,0.545279383,0,0.594117647,0.31496063,0.023194764,0.122278057,0.238957872,0.199233716,0.252653928,0,0.466666667,0.166666667
2013/1/16,0.221698113,0.231132075,0.286666667,0.139240506,0.268292683,0.605009634,0,0.623529412,0.480314961,0.039766331,0.232830821,0.282165425,0.149425287,0.35881104,0,0.5,0.333333333
2013/1/17,0.181603774,0.205188679,0.191111111,0.35443038,0.280487805,0.710982659,0,0.723529412,0.488188976,0.039101297,0.259631491,0.271363536,0.137931034,0.392781316,0,0.533333333,0.5
2013/1/18,0.141509434,0.16509434,0.166666667,0.202531646,0.414634146,0.583815029,0,1,0.700787402,0.054519233,0.417085427,0.37447247,0.099616858,0.592356688,0,0.566666667,0.666666667
2013/1/19,0.113207547,0.158018868,0.088888889,0.139240506,0.524390244,0.441233141,0,0.994117647,0.771653543,0.070167895,0.638190955,0.50213115,0.068965517,0.845010616,0,0.6,0.833333333
2013/1/20,0.162735849,0.238207547,0.14,0.088607595,0.829268293,0.558766859,0.015789474,0.558823529,0.519685039,0.05207625,0.460636516,0.362688592,0.107279693,0.647558386,0,0.633333333,1
2013/1/21,0.221698113,0.242924528,0.235555556,0.17721519,0.475609756,0.608863198,0,0.441176471,0.283464567,0.024076953,0.097152429,0.104425263,0.229885057,0.129511677,0,0.666666667,0
2013/1/22,0.224056604,0.25,0.248888889,0.215189873,0.536585366,0.572254335,0,0.517647059,0.401574803,0.033767451,0.209380235,0.182984451,0.191570881,0.316348195,0,0.7,0.166666667
2013/1/23,0.202830189,0.181603774,0.277777778,0.113924051,0.573170732,0.460500963,0,0.558823529,0.614173228,0.042494328,0.341708543,0.279219455,0.141762452,0.518046709,0,0.733333333,0.333333333
