trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,min_C_cwt_coefficients,max_C_abs_energy,max_C_fft_aggregated,max_C_number_crossing_m,daily_precipitation_spkt_welch_density,daily_precipitation_time_reversal_asymmetry_statistic,SO2_autocorrelation,SO2_cid_ce,SO2_last_location_of_minimum,SO2_spkt_welch_density,SO2_time_reversal_asymmetry_statistic,NO2_autocorrelation,NO2_cid_ce,NO2_spkt_welch_density,NO2_time_reversal_asymmetry_statistic,CO_cid_ce,CO_last_location_of_minimum,CO_spkt_welch_density,CO_time_reversal_asymmetry_statistic,PM2_5_cid_ce,ave_C,min_C,max_C,ave_ws,ave_rh,ave_hpa,daily_precipitation,SO2,NO2,CO,PM2_5,PM10,O38h,AQI,month,day,week
0.39750087,-0.030853506,-0.09831611,0.0,0.0,0.08851914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15416446,4.7331085,0.08362177,1.8407938,0.0,0.7124504,0.041510884,0.018082349,0.3796329,-0.0928586,0.03566778,-1.0714641,0.09244694,0.028602377,0.40628004,1.6910748,0.08966903,-1.2173665,0.8712791,4.317152,0.5259797,3.9571688,5.2701387,2.0714917,0.49514458,0.10778811,-0.8556293,0.0,0.07581921,0.0065874076,0.48710987,0.23814203,-0.039184157,1.1822639,-0.0021361671,0.04643436,-0.062324192,2.812522
0.3990416,-0.030853506,-0.16364649,0.0,0.0,1.2880907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15416446,5.584247,0.08847476,2.2479696,0.0,0.8208468,0.041510884,0.018082349,0.22277153,-0.08722401,0.0036437698,-0.34347588,0.058933266,-0.013173618,0.45664653,2.7045488,0.064993106,2.0958261,1.5816877,3.8722324,0.9111168,4.236037,5.5684323,2.049181,-0.021377359,-0.011906701,1.3008542,0.0,0.07581921,0.0065874076,0.6658467,0.1897928,-0.048812572,1.2548217,-0.0021361671,0.04643436,-0.49815586,2.6164784
0.31454003,-0.030853506,-0.080778845,0.0,0.0,0.6188717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15416446,5.617242,0.08295151,2.002646,0.0,0.66780466,0.041510884,-0.056875236,-0.021608932,-0.20642795,0.41048795,0.057009675,-0.12037963,0.0054252436,0.81348866,1.6492797,-0.6889877,1.3839685,-0.30643788,4.896558,0.092963494,5.4461412,7.3842072,1.9550263,0.23731592,-0.08866084,2.174393,0.0,0.07581921,0.0065874076,0.6576881,0.25478142,-0.10682131,1.2664702,-0.0021361671,0.06849042,-0.47702292,-1.0570914
0.25133622,-0.030853506,-0.07971068,0.0,0.0,-0.9147462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.086051725,5.7551274,0.06594438,0.40300053,0.0,0.3323707,0.026162244,-0.056875236,-0.2707668,0.27222872,1.1590219,0.1993731,-0.122068465,-0.03635075,-0.01121507,-0.25750983,-1.6649119,1.4786615,0.36391473,4.4279413,-0.51796,7.6817884,7.2682214,2.6719897,0.16239062,-0.13611332,-0.53009856,0.0,0.029942151,0.013330634,0.5763293,0.3470769,0.09738912,1.1706153,0.030158678,0.58147925,-0.55140716,-12.110507
0.24321325,-0.15904632,-0.060901426,0.0,0.0,0.23332436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15416446,5.251699,0.08559172,1.0667913,0.0,0.6722052,0.041510884,0.008493525,0.072513215,0.15457839,0.7528507,-0.3988596,0.072483495,0.039635282,-0.26456365,1.8754879,-0.5337997,1.0775335,-1.2459288,1.8964535,0.40852833,4.3609715,5.0380464,1.6864142,0.158459,-0.15259406,-1.1887549,0.0,0.07581921,0.0065874076,0.8346422,0.29512712,0.09738912,-2.3190615,0.030158678,0.06849042,-0.581205,3.4531047
0.3990416,-0.030853506,-0.0732558,0.0,0.0,0.5685062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15416446,6.410696,0.08295151,1.0260057,0.0,0.6241621,0.041510884,0.0019511888,0.14321189,0.15457839,0.7683571,0.19802053,0.12264621,0.015857365,-0.056069933,2.2241137,-0.1882773,0.9279418,0.3071837,4.245547,0.46196088,4.1676445,5.0938864,2.1622853,0.21422291,0.00078996504,-1.0954489,0.0,0.07581921,0.002404927,0.44616306,0.29512712,0.09738912,1.1822639,-0.0039726356,0.06849042,-0.581205,2.8302422
0.32058793,-0.030853506,-0.099819936,0.0,0.0,0.61921096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19091447,6.3177433,0.088573955,0.62763214,0.0,0.6088006,0.041510884,-0.008790192,0.21607132,0.06838541,0.425699,0.10949394,0.24904165,-0.042532146,-0.55842793,1.8841566,-0.24181084,1.1542395,-0.8859067,4.295503,0.35857964,4.434033,4.9481916,2.043781,-0.06667832,-0.15015608,-1.1682435,0.0,0.07581921,0.0034895015,0.3990405,0.1897928,-0.10682131,1.1741946,-0.0021361671,0.06849042,-0.581205,2.7281203
0.32058793,-0.030853506,-0.1427944,0.0,0.0,-0.43584952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19091447,5.192906,0.08780396,1.5938292,0.0,-0.2971716,0.041510884,-0.008790192,0.38837782,0.3348292,1.1647915,0.12222475,-0.004191188,0.060386077,0.3079203,1.9510369,-0.32247964,0.75383806,0.36503366,4.7166624,0.23180164,4.524116,5.716077,2.1699512,0.14854102,0.00078996504,2.9626503,0.0,0.07581921,0.0034895015,0.37961397,0.28581086,0.09738912,1.2584009,0.030158678,0.06849042,-0.049238726,2.9953496
0.27719676,-0.030853506,-0.10410964,0.0,0.0,1.1248175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19091447,4.4781394,0.088041835,2.275759,0.0,-1.7592671,0.041510884,-0.008790192,0.36684778,-0.15089737,0.751483,0.15378144,-0.030844644,0.060386077,-0.43732628,-5.641662,-0.18726738,1.4874601,0.36506537,3.7855444,0.10327178,4.473221,3.3937008,1.0895271,-0.057423882,-0.13954407,1.4180797,0.0,0.07581921,0.002404927,0.38107404,0.28581086,0.09738912,1.2584009,0.15813209,0.06849042,0.020078719,1.9794483
0.09750399,-0.030853506,-0.0010252912,0.0,0.0,0.84309274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32683283,3.9247303,0.088041835,0.6884068,0.0,-0.72868097,0.041510884,-0.011896815,0.35205767,-0.1238082,0.74344677,-0.15695442,0.8384824,0.07332861,-0.03557057,-5.5188966,-0.106268495,1.2305841,-1.5322638,-0.00882774,0.11440638,4.6644106,4.849336,0.8942657,-0.44147933,-0.06115379,-0.58345985,0.0,0.07581921,0.0034895015,0.28116772,0.21407859,-0.10682131,0.43864906,0.12583727,0.079833284,0.056521714,-1.7275054
