feature,mean,min,max,std_dev,VAR
trend,25151.50446,45.74009637,174.2228477,25.43508067,646.9433288
yhat_lower,18853.70823,9.35777609,151.5877684,24.46575784,598.5733068
yhat_upper,31409.71776,40.56457194,212.992374,30.62209147,937.7124861
trend_lower,25151.50446,45.74009637,174.2228477,25.43508067,646.9433288
trend_upper,25151.50446,45.74009637,174.2228477,25.43508067,646.9433288
additive_terms,-22.43482081,-40.27298939,21.73527318,11.45624954,131.2456535
additive_terms_lower,-22.43482081,-40.27298939,21.73527318,11.45624954,131.2456535
additive_terms_upper,-22.43482081,-40.27298939,21.73527318,11.45624954,131.2456535
weekly,-22.43482081,-40.27298939,21.73527318,11.45624954,131.2456535
weekly_lower,-22.43482081,-40.27298939,21.73527318,11.45624954,131.2456535
weekly_upper,-22.43482081,-40.27298939,21.73527318,11.45624954,131.2456535
multiplicative_terms,0,0,0,0,0
multiplicative_terms_lower,0,0,0,0,0
multiplicative_terms_upper,0,0,0,0,0
yhat,25129.06964,26.54494725,178.8629875,27.30289575,745.4481163
min_C_cwt_coefficients,3332.827089,-4.813963388,23.50280805,7.527447367,56.66246387
max_C_abs_energy,2875573.6,190.43,17982.04,5348.739041,28609009.33
max_C_fft_aggregated,946.6775037,0.934077824,5.447247999,0.775905202,0.602028882
max_C_number_crossing_m,0,0,0,0,0
daily_precipitation_spkt_welch_density,4272.61509,0,257.3453842,36.08137714,1301.865776
daily_precipitation_time_reversal_asymmetry_statistic,-34395.46,-8121.03225,3949.326,973.9133463,948507.2061
SO2_autocorrelation,403.0689242,-96.09998391,611.2742531,33.91434425,1150.182746
SO2_cid_ce,1364.555418,2.040990779,6.435841206,0.809853313,0.655862389
SO2_last_location_of_minimum,188.7857143,0.071428571,1,0.288822736,0.083418573
SO2_spkt_welch_density,29186.51619,0.000137634,1380.325952,205.4639322,42215.42745
SO2_time_reversal_asymmetry_statistic,191814,-915961.625,579744.375,136366.2839,18595763377
NO2_autocorrelation,-128.5025976,-63.2503842,8.209873198,3.607066669,13.01092995
NO2_cid_ce,1268.822119,1.503968202,5.983742582,0.872696725,0.761599574
NO2_spkt_welch_density,13762.69366,0.0000232,315.9445011,64.07909412,4106.130303
NO2_time_reversal_asymmetry_statistic,2704777.125,-265212.875,542121.625,98633.15565,9728499393
CO_cid_ce,1244.496732,1.293946412,5.783750468,0.866547802,0.750905092
CO_last_location_of_minimum,176.7857143,0.071428571,1,0.298002235,0.088805332
CO_spkt_welch_density,12.99922903,0.000000354,0.477266515,0.064282362,0.004132222
CO_time_reversal_asymmetry_statistic,233.6791181,-25.86126462,59.77838685,9.585597415,91.8836778
PM2_5_cid_ce,1273.16397,1.429243323,6.075583322,0.853150041,0.727864992
